index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488393427,5,5,random,0.02,3,10,20.086917,1
1,2611923443488393428,5,5,random,0.02,3,7,20.079334,1
2,2611923443488393429,5,5,random,0.02,4,9,20.07,1
3,2611923443488393430,5,5,random,0.02,4,6,20.086459,1
4,2611923443488393431,5,5,random,0.02,4,7,20.077791,1
5,2611923443488393432,5,5,random,0.02,4,8,20.183667,1
6,2611923443488393433,5,5,random,0.02,4,7,20.075125,1
7,2611923443488393434,5,5,random,0.02,4,7,20.067542,1
8,2611923443488393435,5,5,random,0.02,3,8,20.062917,1
9,2611923443488393436,5,5,random,0.02,3,10,20.065959,1
10,2611923443488393437,5,5,random,0.02,4,7,20.068416,1
11,2611923443488393438,5,5,random,0.02,5,9,20.078209,1
12,2611923443488393439,5,5,random,0.02,4,8,20.072667,1
13,2611923443488393440,5,5,random,0.02,3,8,20.06475,1
14,2611923443488393441,5,5,random,0.02,5,6,20.076625,1
15,2611923443488393442,5,5,random,0.02,4,6,20.07325,1
16,2611923443488393443,5,5,random,0.02,3,7,20.078125,1
17,2611923443488393444,5,5,random,0.02,4,7,20.065875,1
18,2611923443488393445,5,5,random,0.02,3,8,20.075125,1
19,2611923443488393446,5,5,random,0.02,4,9,20.07875,1
20,2611923443488393447,5,5,random,0.02,5,7,20.072958,1
21,2611923443488393448,5,5,random,0.02,4,7,20.065708,1
22,2611923443488393449,5,5,random,0.02,5,8,20.061625,1
23,2611923443488393450,5,5,random,0.02,5,6,20.084,1
24,2611923443488393451,5,5,random,0.02,4,8,20.076375,1
25,2611923443488393452,5,5,random,0.02,3,8,20.075667,1
26,2611923443488393453,5,5,random,0.02,4,10,20.053416,1
27,2611923443488393454,5,5,random,0.02,4,6,20.068333,1
28,2611923443488393455,5,5,random,0.02,5,7,20.068125,1
29,2611923443488393456,5,5,random,0.02,4,8,20.082833,1
30,2611923443488393457,5,5,random,0.02,4,6,20.065333,1
31,2611923443488393458,5,5,random,0.02,3,7,20.081375,1
32,2611923443488393459,5,5,random,0.02,4,6,20.073167,1
33,2611923443488393460,5,5,random,0.02,3,9,20.073791,1
34,2611923443488393461,5,5,random,0.02,4,8,20.0785,1
35,2611923443488393462,5,5,random,0.02,4,8,20.0705,1
36,2611923443488393463,5,5,random,0.02,3,7,20.068917,1
37,2611923443488393464,5,5,random,0.02,4,7,20.063042,1
38,2611923443488393465,5,5,random,0.02,3,6,20.063625,1
39,2611923443488393466,5,5,random,0.02,4,6,20.066375,1
40,2611923443488393467,5,5,random,0.02,5,8,20.062125,1
41,2611923443488393468,5,5,random,0.02,4,5,20.069791,1
42,2611923443488393469,5,5,random,0.02,5,12,20.071125,1
43,2611923443488393470,5,5,random,0.02,4,6,20.074458,1
44,2611923443488393471,5,5,random,0.02,4,9,20.093459,1
45,2611923443488393472,5,5,random,0.02,4,9,20.065542,1
46,2611923443488393473,5,5,random,0.02,5,6,20.070959,1
47,2611923443488393474,5,5,random,0.02,3,7,20.058375,1
48,2611923443488393475,5,5,random,0.02,4,8,20.089291,1
49,2611923443488393476,5,5,random,0.02,3,8,20.068875,1
50,2611923443488393477,5,5,random,0.02,4,7,20.073834,1
51,2611923443488393478,5,5,random,0.02,3,10,20.050625,1
52,2611923443488393479,5,5,random,0.02,3,8,20.051667,1
53,2611923443488393480,5,5,random,0.02,4,8,20.071,1
54,2611923443488393481,5,5,random,0.02,4,7,20.068667,1
55,2611923443488393482,5,5,random,0.02,4,8,20.059167,1
56,2611923443488393483,5,5,random,0.02,4,6,20.071125,1
57,2611923443488393484,5,5,random,0.02,4,9,20.067083,1
58,2611923443488393485,5,5,random,0.02,5,9,20.067084,1
59,2611923443488393486,5,5,random,0.02,4,5,20.071708,1
60,2611923443488393487,5,5,random,0.02,5,10,20.062625,1
61,2611923443488393488,5,5,random,0.02,5,7,20.077208,1
62,2611923443488393489,5,5,random,0.02,4,7,20.069292,1
63,2611923443488393490,5,5,random,0.02,4,9,20.072792,1
64,2611923443488393491,5,5,random,0.02,5,9,20.076,1
65,2611923443488393492,5,5,random,0.02,3,7,20.06475,1
66,2611923443488393493,5,5,random,0.02,5,7,20.069375,1
67,2611923443488393494,5,5,random,0.02,4,8,20.0645,1
68,2611923443488393495,5,5,random,0.02,3,7,20.07425,1
69,2611923443488393496,5,5,random,0.02,4,9,20.064542,1
