index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,88,40,1011.355708,1
1,15111065706836782340,20,20,random,1,87,41,1010.606666,1
2,15111065706836782341,20,20,random,1,86,36,1010.972834,1
3,15111065706836782342,20,20,random,1,83,35,1010.037958,1
4,15111065706836782343,20,20,random,1,86,37,1010.643541,1
5,15111065706836782344,20,20,random,1,89,40,1010.524792,1
6,15111065706836782345,20,20,random,1,79,33,1010.034042,1
7,15111065706836782346,20,20,random,1,88,40,1011.833125,1
8,15111065706836782347,20,20,random,1,88,31,1010.690875,1
9,15111065706836782348,20,20,random,1,85,38,1010.426708,1
10,15111065706836782349,20,20,random,1,85,26,1011.823125,1
11,15111065706836782350,20,20,random,1,85,29,1011.258083,1
12,15111065706836782351,20,20,random,1,92,36,1010.800209,1
13,15111065706836782352,20,20,random,1,85,34,1010.696709,1
14,15111065706836782353,20,20,random,1,87,43,1010.539875,1
15,15111065706836782354,20,20,random,1,84,38,1010.151334,1
16,15111065706836782355,20,20,random,1,88,32,1011.026125,1
17,15111065706836782356,20,20,random,1,88,43,1010.319042,1
18,15111065706836782357,20,20,random,1,90,34,1010.62625,1
19,15111065706836782358,20,20,random,1,87,30,1010.744417,1
20,15111065706836782359,20,20,random,1,89,37,1011.038791,1
21,15111065706836782360,20,20,random,1,88,40,1010.91375,1
22,15111065706836782361,20,20,random,1,83,30,1010.78625,1
23,15111065706836782362,20,20,random,1,87,33,1010.591208,1
24,15111065706836782363,20,20,random,1,80,37,1010.251333,1
25,15111065706836782364,20,20,random,1,85,34,1011.049542,1
26,15111065706836782365,20,20,random,1,87,33,1010.160375,1
27,15111065706836782366,20,20,random,1,92,39,1010.500083,1
28,15111065706836782367,20,20,random,1,81,38,1009.992292,1
29,15111065706836782368,20,20,random,1,84,41,1010.171291,1
30,15111065706836782369,20,20,random,1,84,45,1010.675834,1
31,15111065706836782370,20,20,random,1,81,37,1010.141,1
32,15111065706836782371,20,20,random,1,91,41,1013.171334,1
33,15111065706836782372,20,20,random,1,86,33,1010.318041,1
34,15111065706836782373,20,20,random,1,87,37,1010.048792,1
35,15111065706836782374,20,20,random,1,87,32,1010.518792,1
36,15111065706836782375,20,20,random,1,86,28,1010.52525,1
37,15111065706836782376,20,20,random,1,83,38,1010.303459,1
38,15111065706836782377,20,20,random,1,91,38,1010.436625,1
39,15111065706836782378,20,20,random,1,83,30,1010.745667,1
40,15111065706836782379,20,20,random,1,86,26,1010.864666,1
41,15111065706836782380,20,20,random,1,89,30,1010.148458,1
42,15111065706836782381,20,20,random,1,78,26,1010.53075,1
43,15111065706836782382,20,20,random,1,86,38,1010.780583,1
44,15111065706836782383,20,20,random,1,84,32,1010.538167,1
45,15111065706836782384,20,20,random,1,89,43,1010.278583,1
46,15111065706836782385,20,20,random,1,86,33,1010.488041,1
47,15111065706836782386,20,20,random,1,92,40,1010.757541,1
48,15111065706836782387,20,20,random,1,83,37,1009.857084,1
49,15111065706836782388,20,20,random,1,78,28,1011.161833,1
