index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,30,83,30,1610.647542,1
1,2611923443488655572,20,20,random,30,91,35,1593.138083,1
2,2611923443488655573,20,20,random,30,80,28,1465.209958,1
3,2611923443488655574,20,20,random,30,89,29,1592.271166,1
4,2611923443488655575,20,20,random,30,82,35,1490.639791,1
5,2611923443488655576,20,20,random,30,84,34,1510.828875,1
6,2611923443488655577,20,20,random,30,84,27,1391.986833,1
7,2611923443488655578,20,20,random,30,85,40,1448.545458,1
8,2611923443488655579,20,20,random,30,84,34,1482.177458,1
9,2611923443488655580,20,20,random,30,83,40,1498.53775,1
10,2611923443488655581,20,20,random,30,85,31,1581.3175,1
11,2611923443488655582,20,20,random,30,87,38,1491.783334,1
12,2611923443488655583,20,20,random,30,87,37,1475.306167,1
13,2611923443488655584,20,20,random,30,84,35,1498.262375,1
14,2611923443488655585,20,20,random,30,89,40,1510.438791,1
15,2611923443488655586,20,20,random,30,85,32,1486.69675,1
16,2611923443488655587,20,20,random,30,84,34,1578.627291,1
17,2611923443488655588,20,20,random,30,88,38,1658.425208,1
18,2611923443488655589,20,20,random,30,85,34,1446.032958,1
19,2611923443488655590,20,20,random,30,90,35,1586.719208,1
20,2611923443488655591,20,20,random,30,85,35,1364.940625,1
21,2611923443488655592,20,20,random,30,86,32,1512.358208,1
22,2611923443488655593,20,20,random,30,83,30,1467.74775,1
23,2611923443488655594,20,20,random,30,86,45,1453.044083,1
24,2611923443488655595,20,20,random,30,82,33,1352.510583,1
25,2611923443488655596,20,20,random,30,89,30,1474.605958,1
26,2611923443488655597,20,20,random,30,84,37,1594.123834,1
27,2611923443488655598,20,20,random,30,84,29,1542.641,1
28,2611923443488655599,20,20,random,30,89,36,1443.807417,1
29,2611923443488655600,20,20,random,30,86,39,1419.755833,1
