index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,90,30,607.023167,1
1,2611923443488655572,20,20,random,1,90,36,570.2215,1
2,2611923443488655573,20,20,random,1,85,34,561.70275,1
3,2611923443488655574,20,20,random,1,85,34,555.246,1
4,2611923443488655575,20,20,random,1,87,36,600.599708,1
5,2611923443488655576,20,20,random,1,96,33,573.740541,1
6,2611923443488655577,20,20,random,1,86,29,576.900125,1
7,2611923443488655578,20,20,random,1,94,42,583.915916,1
8,2611923443488655579,20,20,random,1,90,39,600.390416,1
9,2611923443488655580,20,20,random,1,90,35,523.759375,1
10,2611923443488655581,20,20,random,1,93,31,558.74825,1
11,2611923443488655582,20,20,random,1,86,37,613.295458,1
12,2611923443488655583,20,20,random,1,90,40,546.150416,1
13,2611923443488655584,20,20,random,1,89,40,564.836,1
14,2611923443488655585,20,20,random,1,89,40,555.359291,1
15,2611923443488655586,20,20,random,1,86,29,547.831875,1
16,2611923443488655587,20,20,random,1,96,42,596.519125,1
17,2611923443488655588,20,20,random,1,95,40,535.332709,1
18,2611923443488655589,20,20,random,1,93,38,562.220208,1
19,2611923443488655590,20,20,random,1,97,35,559.592208,1
20,2611923443488655591,20,20,random,1,89,24,548.417541,1
21,2611923443488655592,20,20,random,1,92,38,576.372375,1
22,2611923443488655593,20,20,random,1,94,32,588.810458,1
23,2611923443488655594,20,20,random,1,93,28,573.818209,1
24,2611923443488655595,20,20,random,1,85,35,547.4145,1
25,2611923443488655596,20,20,random,1,89,30,597.76175,1
26,2611923443488655597,20,20,random,1,91,29,602.244333,1
27,2611923443488655598,20,20,random,1,86,31,594.647333,1
28,2611923443488655599,20,20,random,1,92,35,557.158667,1
29,2611923443488655600,20,20,random,1,89,32,547.736834,1
30,2611923443488655601,20,20,random,1,90,39,570.073084,1
31,2611923443488655602,20,20,random,1,86,31,559.487792,1
32,2611923443488655603,20,20,random,1,86,34,555.851166,1
33,2611923443488655604,20,20,random,1,91,35,556.651167,1
34,2611923443488655605,20,20,random,1,84,36,564.205708,1
35,2611923443488655606,20,20,random,1,92,37,553.814,1
36,2611923443488655607,20,20,random,1,88,33,567.476167,1
37,2611923443488655608,20,20,random,1,81,32,574.137417,1
38,2611923443488655609,20,20,random,1,95,26,576.950541,1
39,2611923443488655610,20,20,random,1,91,25,542.858375,1
40,2611923443488655611,20,20,random,1,95,40,558.017667,1
41,2611923443488655612,20,20,random,1,89,30,565.766791,1
42,2611923443488655613,20,20,random,1,91,41,566.661542,1
43,2611923443488655614,20,20,random,1,92,42,563.75575,1
44,2611923443488655615,20,20,random,1,93,28,551.204292,1
45,2611923443488655616,20,20,random,1,89,27,556.377084,1
46,2611923443488655617,20,20,random,1,89,40,567.364708,1
47,2611923443488655618,20,20,random,1,92,38,586.754583,1
48,2611923443488655619,20,20,random,1,88,25,553.34675,1
49,2611923443488655620,20,20,random,1,90,32,578.031083,1
