index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,90,30,483.889583,1
1,2611923443488655572,20,20,random,1,100,34,442.000375,1
2,2611923443488655573,20,20,random,1,88,41,477.859,1
3,2611923443488655574,20,20,random,1,89,34,470.484084,1
4,2611923443488655575,20,20,random,1,94,48,488.430083,1
5,2611923443488655576,20,20,random,1,99,33,446.762708,1
6,2611923443488655577,20,20,random,1,86,29,490.0695,1
7,2611923443488655578,20,20,random,1,97,36,450.222375,1
8,2611923443488655579,20,20,random,1,90,39,459.846833,1
9,2611923443488655580,20,20,random,1,98,37,431.9565,1
10,2611923443488655581,20,20,random,1,93,31,466.470708,1
11,2611923443488655582,20,20,random,1,94,42,454.534833,1
12,2611923443488655583,20,20,random,1,96,36,443.173375,1
13,2611923443488655584,20,20,random,1,94,36,446.202042,1
14,2611923443488655585,20,20,random,1,89,40,444.795584,1
15,2611923443488655586,20,20,random,1,90,31,461.135042,1
16,2611923443488655587,20,20,random,1,99,31,464.77925,1
17,2611923443488655588,20,20,random,1,98,41,447.131708,1
18,2611923443488655589,20,20,random,1,99,37,446.317209,1
19,2611923443488655590,20,20,random,1,101,46,456.6315,1
20,2611923443488655591,20,20,random,1,94,27,485.909,1
21,2611923443488655592,20,20,random,1,91,38,461.548291,1
22,2611923443488655593,20,20,random,1,94,32,454.195666,1
23,2611923443488655594,20,20,random,1,98,29,471.290333,1
24,2611923443488655595,20,20,random,1,88,30,464.5845,1
25,2611923443488655596,20,20,random,1,89,30,483.727,1
26,2611923443488655597,20,20,random,1,91,29,475.183708,1
27,2611923443488655598,20,20,random,1,88,32,467.753084,1
28,2611923443488655599,20,20,random,1,92,35,459.21325,1
29,2611923443488655600,20,20,random,1,91,35,459.890458,1
30,2611923443488655601,20,20,random,1,96,40,459.870791,1
31,2611923443488655602,20,20,random,1,94,30,474.285125,1
32,2611923443488655603,20,20,random,1,93,33,464.862333,1
33,2611923443488655604,20,20,random,1,97,36,459.543458,1
34,2611923443488655605,20,20,random,1,93,34,448.797916,1
35,2611923443488655606,20,20,random,1,95,35,452.593125,1
36,2611923443488655607,20,20,random,1,93,29,480.574,1
37,2611923443488655608,20,20,random,1,96,35,463.868208,1
38,2611923443488655609,20,20,random,1,102,53,470.960334,1
39,2611923443488655610,20,20,random,1,91,29,489.648583,1
40,2611923443488655611,20,20,random,1,99,38,446.578792,1
41,2611923443488655612,20,20,random,1,93,31,485.549291,1
42,2611923443488655613,20,20,random,1,96,37,452.352333,1
43,2611923443488655614,20,20,random,1,100,40,453.85275,1
44,2611923443488655615,20,20,random,1,94,25,472.233417,1
45,2611923443488655616,20,20,random,1,92,29,488.532834,1
46,2611923443488655617,20,20,random,1,92,32,460.050167,1
47,2611923443488655618,20,20,random,1,98,42,482.953417,1
48,2611923443488655619,20,20,random,1,94,27,475.9945,1
49,2611923443488655620,20,20,random,1,90,32,463.169875,1
