index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,113,31,452.417292,1
1,15111065706836782340,20,20,random,1,113,41,439.241333,1
2,15111065706836782341,20,20,random,1,111,35,447.579667,1
3,15111065706836782342,20,20,random,1,94,32,471.3265,1
4,15111065706836782343,20,20,random,1,96,30,465.587083,1
5,15111065706836782344,20,20,random,1,108,42,445.012542,1
6,15111065706836782345,20,20,random,1,103,34,465.936375,1
7,15111065706836782346,20,20,random,1,108,41,442.335833,1
8,15111065706836782347,20,20,random,1,107,27,477.796125,1
9,15111065706836782348,20,20,random,1,112,38,451.934875,1
10,15111065706836782349,20,20,random,1,109,35,479.942,1
11,15111065706836782350,20,20,random,1,108,29,478.83025,1
12,15111065706836782351,20,20,random,1,114,34,462.073708,1
13,15111065706836782352,20,20,random,1,109,35,457.063875,1
14,15111065706836782353,20,20,random,1,105,38,467.210208,1
15,15111065706836782354,20,20,random,1,109,35,484.587458,1
16,15111065706836782355,20,20,random,1,118,33,451.17425,1
17,15111065706836782356,20,20,random,1,102,40,461.688667,1
18,15111065706836782357,20,20,random,1,113,31,464.022667,1
19,15111065706836782358,20,20,random,1,110,37,473.387791,1
20,15111065706836782359,20,20,random,1,105,31,466.025125,1
21,15111065706836782360,20,20,random,1,113,36,467.9715,1
22,15111065706836782361,20,20,random,1,104,31,503.572542,1
23,15111065706836782362,20,20,random,1,109,25,478.344041,1
24,15111065706836782363,20,20,random,1,106,43,461.191625,1
25,15111065706836782364,20,20,random,1,104,35,459.480625,1
26,15111065706836782365,20,20,random,1,108,35,449.958458,1
27,15111065706836782366,20,20,random,1,105,37,458.140708,1
28,15111065706836782367,20,20,random,1,107,37,468.586625,1
29,15111065706836782368,20,20,random,1,104,34,443.569708,1
30,15111065706836782369,20,20,random,1,105,33,462.296042,1
31,15111065706836782370,20,20,random,1,108,33,474.871125,1
32,15111065706836782371,20,20,random,1,112,48,447.337333,1
33,15111065706836782372,20,20,random,1,106,31,459.065542,1
34,15111065706836782373,20,20,random,1,108,37,448.793625,1
35,15111065706836782374,20,20,random,1,111,29,471.615,1
36,15111065706836782375,20,20,random,1,106,28,492.857541,1
37,15111065706836782376,20,20,random,1,110,47,465.193875,1
38,15111065706836782377,20,20,random,1,114,45,439.683041,1
39,15111065706836782378,20,20,random,1,96,27,494.48075,1
40,15111065706836782379,20,20,random,1,109,31,493.0545,1
41,15111065706836782380,20,20,random,1,105,33,481.470291,1
42,15111065706836782381,20,20,random,1,97,28,485.1615,1
43,15111065706836782382,20,20,random,1,110,33,485.490125,1
44,15111065706836782383,20,20,random,1,106,29,475.831042,1
45,15111065706836782384,20,20,random,1,109,37,454.635708,1
46,15111065706836782385,20,20,random,1,101,33,460.25025,1
47,15111065706836782386,20,20,random,1,111,42,437.462084,1
48,15111065706836782387,20,20,random,1,101,36,463.640333,1
49,15111065706836782388,20,20,random,1,106,28,477.305458,1
