index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,107,27,490.575375,1
1,2611923443488655572,20,20,random,1,104,36,453.073375,1
2,2611923443488655573,20,20,random,1,109,30,476.903291,1
3,2611923443488655574,20,20,random,1,108,31,474.397583,1
4,2611923443488655575,20,20,random,1,102,27,487.710208,1
5,2611923443488655576,20,20,random,1,112,38,451.521666,1
6,2611923443488655577,20,20,random,1,105,30,473.719125,1
7,2611923443488655578,20,20,random,1,110,36,457.009208,1
8,2611923443488655579,20,20,random,1,107,42,461.812167,1
9,2611923443488655580,20,20,random,1,107,37,440.345875,1
10,2611923443488655581,20,20,random,1,109,33,465.952125,1
11,2611923443488655582,20,20,random,1,104,37,464.585542,1
12,2611923443488655583,20,20,random,1,104,39,450.133458,1
13,2611923443488655584,20,20,random,1,108,39,441.181791,1
14,2611923443488655585,20,20,random,1,108,44,462.5855,1
15,2611923443488655586,20,20,random,1,110,30,477.604208,1
16,2611923443488655587,20,20,random,1,113,35,467.009167,1
17,2611923443488655588,20,20,random,1,115,43,451.211167,1
18,2611923443488655589,20,20,random,1,110,35,456.120417,1
19,2611923443488655590,20,20,random,1,108,45,484.14525,1
20,2611923443488655591,20,20,random,1,106,28,498.203917,1
21,2611923443488655592,20,20,random,1,110,35,463.833917,1
22,2611923443488655593,20,20,random,1,100,37,471.964542,1
23,2611923443488655594,20,20,random,1,106,33,478.48825,1
24,2611923443488655595,20,20,random,1,115,30,467.355958,1
25,2611923443488655596,20,20,random,1,103,29,502.1515,1
26,2611923443488655597,20,20,random,1,113,28,477.398208,1
27,2611923443488655598,20,20,random,1,103,33,474.731083,1
28,2611923443488655599,20,20,random,1,105,31,462.386959,1
29,2611923443488655600,20,20,random,1,101,33,455.598,1
30,2611923443488655601,20,20,random,1,114,33,461.55775,1
31,2611923443488655602,20,20,random,1,104,36,485.835375,1
32,2611923443488655603,20,20,random,1,109,32,473.041,1
33,2611923443488655604,20,20,random,1,112,39,462.373542,1
34,2611923443488655605,20,20,random,1,110,41,458.861959,1
35,2611923443488655606,20,20,random,1,109,44,446.9095,1
36,2611923443488655607,20,20,random,1,111,29,482.917208,1
37,2611923443488655608,20,20,random,1,101,41,468.27175,1
38,2611923443488655609,20,20,random,1,109,36,480.295875,1
39,2611923443488655610,20,20,random,1,111,29,490.76275,1
40,2611923443488655611,20,20,random,1,114,42,457.342792,1
41,2611923443488655612,20,20,random,1,107,30,487.695875,1
42,2611923443488655613,20,20,random,1,109,34,531.98375,1
43,2611923443488655614,20,20,random,1,110,41,450.800875,1
44,2611923443488655615,20,20,random,1,108,27,482.397375,1
45,2611923443488655616,20,20,random,1,110,31,486.37975,1
46,2611923443488655617,20,20,random,1,118,36,502.85425,1
47,2611923443488655618,20,20,random,1,114,30,493.056333,1
48,2611923443488655619,20,20,random,1,106,26,484.359375,1
49,2611923443488655620,20,20,random,1,105,35,471.989792,1
