index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,84,36,1008.437333,1
1,15111065706836782340,20,20,random,1,89,39,1004.999333,1
2,15111065706836782341,20,20,random,1,87,33,1004.186167,1
3,15111065706836782342,20,20,random,1,80,34,1004.488125,1
4,15111065706836782343,20,20,random,1,81,30,1004.464375,1
5,15111065706836782344,20,20,random,1,84,41,1004.658208,1
6,15111065706836782345,20,20,random,1,83,31,1004.417083,1
7,15111065706836782346,20,20,random,1,87,38,1004.401583,1
8,15111065706836782347,20,20,random,1,84,28,1004.384958,1
9,15111065706836782348,20,20,random,1,80,49,1004.307292,1
10,15111065706836782349,20,20,random,1,79,25,1004.751333,1
11,15111065706836782350,20,20,random,1,84,30,1004.41,1
12,15111065706836782351,20,20,random,1,88,33,1004.398791,1
13,15111065706836782352,20,20,random,1,81,33,1004.209667,1
14,15111065706836782353,20,20,random,1,86,37,1004.624625,1
15,15111065706836782354,20,20,random,1,83,29,1004.33525,1
16,15111065706836782355,20,20,random,1,87,32,1004.310125,1
17,15111065706836782356,20,20,random,1,87,39,1004.49575,1
18,15111065706836782357,20,20,random,1,84,38,1006.713084,1
19,15111065706836782358,20,20,random,1,84,34,1004.592208,1
20,15111065706836782359,20,20,random,1,84,34,1004.421541,1
21,15111065706836782360,20,20,random,1,81,37,1004.453625,1
22,15111065706836782361,20,20,random,1,83,31,1004.790958,1
23,15111065706836782362,20,20,random,1,82,27,1004.476375,1
24,15111065706836782363,20,20,random,1,78,39,1004.256583,1
25,15111065706836782364,20,20,random,1,85,34,1004.515792,1
26,15111065706836782365,20,20,random,1,87,40,1004.143333,1
27,15111065706836782366,20,20,random,1,87,41,1004.379334,1
28,15111065706836782367,20,20,random,1,76,33,1004.387334,1
29,15111065706836782368,20,20,random,1,84,41,1004.301875,1
30,15111065706836782369,20,20,random,1,85,38,1004.228625,1
31,15111065706836782370,20,20,random,1,81,36,1004.319292,1
32,15111065706836782371,20,20,random,1,87,38,1004.50675,1
33,15111065706836782372,20,20,random,1,84,28,1004.444958,1
34,15111065706836782373,20,20,random,1,83,32,1004.263042,1
35,15111065706836782374,20,20,random,1,85,28,1004.424167,1
36,15111065706836782375,20,20,random,1,82,27,1006.056417,1
37,15111065706836782376,20,20,random,1,82,37,1004.321291,1
38,15111065706836782377,20,20,random,1,87,37,1004.256458,1
39,15111065706836782378,20,20,random,1,82,27,1004.648084,1
40,15111065706836782379,20,20,random,1,83,27,1004.403583,1
41,15111065706836782380,20,20,random,1,86,30,1004.362583,1
42,15111065706836782381,20,20,random,1,78,31,1004.466333,1
43,15111065706836782382,20,20,random,1,84,40,1004.483209,1
44,15111065706836782383,20,20,random,1,81,33,1004.527583,1
45,15111065706836782384,20,20,random,1,87,56,1004.399,1
46,15111065706836782385,20,20,random,1,86,37,1005.15125,1
47,15111065706836782386,20,20,random,1,90,39,1004.346083,1
48,15111065706836782387,20,20,random,1,85,39,1004.197958,1
49,15111065706836782388,20,20,random,1,78,29,1004.564458,1
