index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,90,26,667.546,1
1,2611923443488655572,20,20,random,1,91,36,674.27625,1
2,2611923443488655573,20,20,random,1,85,34,703.216542,1
3,2611923443488655574,20,20,random,1,85,34,680.838083,1
4,2611923443488655575,20,20,random,1,87,36,692.028125,1
5,2611923443488655576,20,20,random,1,93,33,683.686083,1
6,2611923443488655577,20,20,random,1,86,29,698.1125,1
7,2611923443488655578,20,20,random,1,94,42,709.49925,1
8,2611923443488655579,20,20,random,1,90,39,685.883375,1
9,2611923443488655580,20,20,random,1,90,35,633.530292,1
10,2611923443488655581,20,20,random,1,92,31,654.094041,1
11,2611923443488655582,20,20,random,1,86,37,708.38075,1
12,2611923443488655583,20,20,random,1,90,40,647.816959,1
13,2611923443488655584,20,20,random,1,89,40,672.551792,1
14,2611923443488655585,20,20,random,1,89,40,666.160625,1
15,2611923443488655586,20,20,random,1,86,29,659.96475,1
16,2611923443488655587,20,20,random,1,91,53,730.804083,1
17,2611923443488655588,20,20,random,1,95,40,698.398958,1
18,2611923443488655589,20,20,random,1,93,38,669.508583,1
19,2611923443488655590,20,20,random,1,97,35,692.750458,1
20,2611923443488655591,20,20,random,1,89,24,644.13625,1
21,2611923443488655592,20,20,random,1,91,33,679.1065,1
22,2611923443488655593,20,20,random,1,87,41,700.553833,1
23,2611923443488655594,20,20,random,1,91,34,690.036666,1
24,2611923443488655595,20,20,random,1,85,35,668.919666,1
25,2611923443488655596,20,20,random,1,89,30,670.946709,1
26,2611923443488655597,20,20,random,1,91,29,696.032416,1
27,2611923443488655598,20,20,random,1,86,31,711.741208,1
28,2611923443488655599,20,20,random,1,92,35,650.216541,1
29,2611923443488655600,20,20,random,1,89,32,756.186958,1
30,2611923443488655601,20,20,random,1,90,39,698.517791,1
31,2611923443488655602,20,20,random,1,90,27,654.283875,1
32,2611923443488655603,20,20,random,1,86,34,687.692334,1
33,2611923443488655604,20,20,random,1,91,35,709.971,1
34,2611923443488655605,20,20,random,1,84,36,667.71125,1
35,2611923443488655606,20,20,random,1,92,37,687.492292,1
36,2611923443488655607,20,20,random,1,88,33,648.785209,1
37,2611923443488655608,20,20,random,1,81,32,695.950625,1
38,2611923443488655609,20,20,random,1,98,34,708.643458,1
39,2611923443488655610,20,20,random,1,91,27,647.583292,1
40,2611923443488655611,20,20,random,1,94,37,692.35325,1
41,2611923443488655612,20,20,random,1,88,28,666.786084,1
42,2611923443488655613,20,20,random,1,93,35,667.939667,1
43,2611923443488655614,20,20,random,1,97,42,703.443875,1
44,2611923443488655615,20,20,random,1,92,30,706.527125,1
45,2611923443488655616,20,20,random,1,89,27,673.814625,1
46,2611923443488655617,20,20,random,1,89,40,698.984541,1
47,2611923443488655618,20,20,random,1,92,37,688.272125,1
48,2611923443488655619,20,20,random,1,90,34,774.415542,1
49,2611923443488655620,20,20,random,1,89,41,761.61075,1
