index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,83,33,1010.46525,1
1,15111065706836782340,20,20,random,1,88,43,1004.125083,1
2,15111065706836782341,20,20,random,1,86,34,1004.306792,1
3,15111065706836782342,20,20,random,1,81,32,1004.503916,1
4,15111065706836782343,20,20,random,1,82,33,1004.42075,1
5,15111065706836782344,20,20,random,1,85,40,1004.361042,1
6,15111065706836782345,20,20,random,1,80,31,1004.702458,1
7,15111065706836782346,20,20,random,1,86,53,1004.309291,1
8,15111065706836782347,20,20,random,1,83,34,1004.358042,1
9,15111065706836782348,20,20,random,1,80,49,1004.298584,1
10,15111065706836782349,20,20,random,1,79,25,1004.760875,1
11,15111065706836782350,20,20,random,1,83,30,1004.512,1
12,15111065706836782351,20,20,random,1,88,33,1004.537333,1
13,15111065706836782352,20,20,random,1,82,39,1004.35975,1
14,15111065706836782353,20,20,random,1,86,38,1004.417083,1
15,15111065706836782354,20,20,random,1,82,35,1004.446125,1
16,15111065706836782355,20,20,random,1,87,36,1004.440375,1
17,15111065706836782356,20,20,random,1,85,45,1004.65225,1
18,15111065706836782357,20,20,random,1,86,35,1004.286458,1
19,15111065706836782358,20,20,random,1,84,34,1004.81725,1
20,15111065706836782359,20,20,random,1,85,36,1004.399167,1
21,15111065706836782360,20,20,random,1,85,32,1004.568708,1
22,15111065706836782361,20,20,random,1,81,33,1004.541208,1
23,15111065706836782362,20,20,random,1,82,35,1004.450875,1
24,15111065706836782363,20,20,random,1,79,37,1004.446167,1
25,15111065706836782364,20,20,random,1,85,34,1004.500875,1
26,15111065706836782365,20,20,random,1,88,37,1004.12075,1
27,15111065706836782366,20,20,random,1,86,34,1004.3405,1
28,15111065706836782367,20,20,random,1,78,36,1004.431459,1
29,15111065706836782368,20,20,random,1,84,41,1004.418416,1
30,15111065706836782369,20,20,random,1,86,37,1004.236791,1
31,15111065706836782370,20,20,random,1,81,32,1004.277625,1
32,15111065706836782371,20,20,random,1,88,38,1004.494167,1
33,15111065706836782372,20,20,random,1,84,37,1004.346542,1
34,15111065706836782373,20,20,random,1,80,34,1004.300167,1
35,15111065706836782374,20,20,random,1,85,28,1004.636833,1
36,15111065706836782375,20,20,random,1,83,27,1004.616917,1
37,15111065706836782376,20,20,random,1,84,37,1004.385458,1
38,15111065706836782377,20,20,random,1,87,39,1004.267334,1
39,15111065706836782378,20,20,random,1,82,22,1004.751083,1
40,15111065706836782379,20,20,random,1,83,27,1004.353542,1
41,15111065706836782380,20,20,random,1,85,32,1004.373208,1
42,15111065706836782381,20,20,random,1,78,25,1004.4965,1
43,15111065706836782382,20,20,random,1,84,35,1004.662,1
44,15111065706836782383,20,20,random,1,80,37,1010.124083,1
45,15111065706836782384,20,20,random,1,85,45,1004.77475,1
46,15111065706836782385,20,20,random,1,85,31,1004.418583,1
47,15111065706836782386,20,20,random,1,89,42,1004.469791,1
48,15111065706836782387,20,20,random,1,86,40,1004.246417,1
49,15111065706836782388,20,20,random,1,77,27,1004.721083,1
