index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,108,27,425.108375,1
1,2611923443488655572,20,20,random,1,104,35,384.289708,1
2,2611923443488655573,20,20,random,1,111,36,417.171167,1
3,2611923443488655574,20,20,random,1,108,33,420.314334,1
4,2611923443488655575,20,20,random,1,110,34,424.515875,1
5,2611923443488655576,20,20,random,1,107,33,418.020875,1
6,2611923443488655577,20,20,random,1,104,30,427.784958,1
7,2611923443488655578,20,20,random,1,110,36,410.405875,1
8,2611923443488655579,20,20,random,1,104,40,409.105125,1
9,2611923443488655580,20,20,random,1,103,39,395.686541,1
10,2611923443488655581,20,20,random,1,106,39,408.066209,1
11,2611923443488655582,20,20,random,1,110,34,416.5215,1
12,2611923443488655583,20,20,random,1,105,39,402.29425,1
13,2611923443488655584,20,20,random,1,108,39,404.819375,1
14,2611923443488655585,20,20,random,1,107,39,485.554042,1
15,2611923443488655586,20,20,random,1,109,28,541.995,1
16,2611923443488655587,20,20,random,1,113,35,420.785209,1
17,2611923443488655588,20,20,random,1,114,43,410.247875,1
18,2611923443488655589,20,20,random,1,114,35,444.540041,1
19,2611923443488655590,20,20,random,1,108,45,409.726459,1
20,2611923443488655591,20,20,random,1,112,28,431.647,1
21,2611923443488655592,20,20,random,1,110,35,414.085375,1
22,2611923443488655593,20,20,random,1,100,37,409.623833,1
23,2611923443488655594,20,20,random,1,107,31,421.476125,1
24,2611923443488655595,20,20,random,1,115,30,413.193042,1
25,2611923443488655596,20,20,random,1,104,29,428.817584,1
26,2611923443488655597,20,20,random,1,109,38,436.81575,1
27,2611923443488655598,20,20,random,1,103,33,416.624125,1
28,2611923443488655599,20,20,random,1,105,31,400.830041,1
29,2611923443488655600,20,20,random,1,101,33,413.480208,1
30,2611923443488655601,20,20,random,1,114,33,415.931208,1
31,2611923443488655602,20,20,random,1,109,28,424.546333,1
32,2611923443488655603,20,20,random,1,110,32,422.812542,1
33,2611923443488655604,20,20,random,1,112,39,418.009834,1
34,2611923443488655605,20,20,random,1,110,41,405.680792,1
35,2611923443488655606,20,20,random,1,110,38,414.556875,1
36,2611923443488655607,20,20,random,1,113,29,422.398791,1
37,2611923443488655608,20,20,random,1,101,40,404.839166,1
38,2611923443488655609,20,20,random,1,119,44,430.158084,1
39,2611923443488655610,20,20,random,1,111,30,435.227,1
40,2611923443488655611,20,20,random,1,111,45,403.51775,1
41,2611923443488655612,20,20,random,1,98,31,437.668167,1
42,2611923443488655613,20,20,random,1,108,33,411.247333,1
43,2611923443488655614,20,20,random,1,109,41,408.486541,1
44,2611923443488655615,20,20,random,1,108,27,428.328666,1
45,2611923443488655616,20,20,random,1,111,27,420.569959,1
46,2611923443488655617,20,20,random,1,114,40,411.244083,1
47,2611923443488655618,20,20,random,1,114,31,434.224666,1
48,2611923443488655619,20,20,random,1,106,26,435.243417,1
49,2611923443488655620,20,20,random,1,102,34,423.399792,1
