index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,30,83,30,538.083708,1
1,2611923443488655572,20,20,random,30,91,35,487.382833,1
2,2611923443488655573,20,20,random,30,80,28,476.162042,1
3,2611923443488655574,20,20,random,30,89,29,476.299292,1
4,2611923443488655575,20,20,random,30,82,35,478.710791,1
5,2611923443488655576,20,20,random,30,84,34,497.013834,1
6,2611923443488655577,20,20,random,30,84,27,481.054958,1
7,2611923443488655578,20,20,random,30,85,40,476.964375,1
8,2611923443488655579,20,20,random,30,84,34,485.224334,1
9,2611923443488655580,20,20,random,30,83,40,851.301042,1
10,2611923443488655581,20,20,random,30,85,31,655.002792,1
11,2611923443488655582,20,20,random,30,87,38,594.969167,1
12,2611923443488655583,20,20,random,30,87,37,522.297208,1
13,2611923443488655584,20,20,random,30,84,35,543.599125,1
14,2611923443488655585,20,20,random,30,89,40,534.924,1
15,2611923443488655586,20,20,random,30,85,32,480.883708,1
16,2611923443488655587,20,20,random,30,84,34,507.585042,1
17,2611923443488655588,20,20,random,30,88,38,516.493459,1
18,2611923443488655589,20,20,random,30,85,34,521.127709,1
19,2611923443488655590,20,20,random,30,90,35,507.121292,1
20,2611923443488655591,20,20,random,30,85,35,543.355125,1
21,2611923443488655592,20,20,random,30,86,32,619.749041,1
22,2611923443488655593,20,20,random,30,83,30,521.48825,1
23,2611923443488655594,20,20,random,30,86,45,497.767,1
24,2611923443488655595,20,20,random,30,82,33,466.130875,1
25,2611923443488655596,20,20,random,30,89,30,485.011,1
26,2611923443488655597,20,20,random,30,84,37,486.958166,1
27,2611923443488655598,20,20,random,30,84,29,479.442584,1
28,2611923443488655599,20,20,random,30,89,36,486.65675,1
29,2611923443488655600,20,20,random,30,86,39,499.285917,1
