index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,30,83,30,394.298708,1
1,2611923443488655572,20,20,random,30,91,35,399.260542,1
2,2611923443488655573,20,20,random,30,80,28,393.704292,1
3,2611923443488655574,20,20,random,30,89,29,406.04175,1
4,2611923443488655575,20,20,random,30,82,35,387.139209,1
5,2611923443488655576,20,20,random,30,84,34,393.935916,1
6,2611923443488655577,20,20,random,30,84,27,394.697167,1
7,2611923443488655578,20,20,random,30,85,40,397.9765,1
8,2611923443488655579,20,20,random,30,84,34,395.03875,1
9,2611923443488655580,20,20,random,30,83,40,379.332,1
10,2611923443488655581,20,20,random,30,85,31,392.439541,1
11,2611923443488655582,20,20,random,30,87,38,394.096791,1
12,2611923443488655583,20,20,random,30,87,37,387.109,1
13,2611923443488655584,20,20,random,30,84,35,397.385666,1
14,2611923443488655585,20,20,random,30,89,40,395.219833,1
15,2611923443488655586,20,20,random,30,85,32,396.76725,1
16,2611923443488655587,20,20,random,30,84,34,396.911083,1
17,2611923443488655588,20,20,random,30,88,38,401.855208,1
18,2611923443488655589,20,20,random,30,85,34,423.771708,1
19,2611923443488655590,20,20,random,30,90,35,395.431333,1
20,2611923443488655591,20,20,random,30,85,35,391.303958,1
21,2611923443488655592,20,20,random,30,86,32,390.096709,1
22,2611923443488655593,20,20,random,30,83,30,389.775083,1
23,2611923443488655594,20,20,random,30,86,45,412.042875,1
24,2611923443488655595,20,20,random,30,82,33,384.25125,1
25,2611923443488655596,20,20,random,30,89,30,383.937875,1
26,2611923443488655597,20,20,random,30,84,37,385.008209,1
27,2611923443488655598,20,20,random,30,84,29,385.638667,1
28,2611923443488655599,20,20,random,30,89,36,378.081917,1
29,2611923443488655600,20,20,random,30,86,39,376.489209,1
