index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,90,30,391.931458,1
1,2611923443488655572,20,20,random,1,91,36,367.462791,1
2,2611923443488655573,20,20,random,1,85,30,376.413334,1
3,2611923443488655574,20,20,random,1,85,34,373.069875,1
4,2611923443488655575,20,20,random,1,87,36,375.802209,1
5,2611923443488655576,20,20,random,1,94,37,364.651291,1
6,2611923443488655577,20,20,random,1,86,29,371.379666,1
7,2611923443488655578,20,20,random,1,94,42,368.113208,1
8,2611923443488655579,20,20,random,1,90,39,388.689917,1
9,2611923443488655580,20,20,random,1,90,35,346.801666,1
10,2611923443488655581,20,20,random,1,93,31,358.958042,1
11,2611923443488655582,20,20,random,1,86,37,369.525541,1
12,2611923443488655583,20,20,random,1,90,40,358.987792,1
13,2611923443488655584,20,20,random,1,89,40,361.894792,1
14,2611923443488655585,20,20,random,1,89,40,370.011917,1
15,2611923443488655586,20,20,random,1,86,29,357.12075,1
16,2611923443488655587,20,20,random,1,99,31,380.088583,1
17,2611923443488655588,20,20,random,1,95,40,360.355208,1
18,2611923443488655589,20,20,random,1,93,38,371.601083,1
19,2611923443488655590,20,20,random,1,97,35,373.990292,1
20,2611923443488655591,20,20,random,1,89,24,371.048208,1
21,2611923443488655592,20,20,random,1,92,38,369.982375,1
22,2611923443488655593,20,20,random,1,94,32,379.295,1
23,2611923443488655594,20,20,random,1,93,31,376.662792,1
24,2611923443488655595,20,20,random,1,85,35,351.991042,1
25,2611923443488655596,20,20,random,1,89,30,383.860125,1
26,2611923443488655597,20,20,random,1,91,29,376.042,1
27,2611923443488655598,20,20,random,1,86,31,369.852666,1
28,2611923443488655599,20,20,random,1,92,35,360.457958,1
29,2611923443488655600,20,20,random,1,91,35,367.723791,1
30,2611923443488655601,20,20,random,1,90,39,372.729917,1
31,2611923443488655602,20,20,random,1,93,29,361.156084,1
32,2611923443488655603,20,20,random,1,86,34,370.607,1
33,2611923443488655604,20,20,random,1,91,35,368.265167,1
34,2611923443488655605,20,20,random,1,84,36,365.479792,1
35,2611923443488655606,20,20,random,1,92,37,364.027084,1
36,2611923443488655607,20,20,random,1,88,33,373.676125,1
37,2611923443488655608,20,20,random,1,81,32,367.632666,1
38,2611923443488655609,20,20,random,1,100,32,374.852292,1
39,2611923443488655610,20,20,random,1,91,29,368.960375,1
40,2611923443488655611,20,20,random,1,94,36,381.771208,1
41,2611923443488655612,20,20,random,1,89,31,369.454,1
42,2611923443488655613,20,20,random,1,93,35,369.315666,1
43,2611923443488655614,20,20,random,1,95,35,368.836875,1
44,2611923443488655615,20,20,random,1,92,33,359.731,1
45,2611923443488655616,20,20,random,1,89,27,366.790833,1
46,2611923443488655617,20,20,random,1,89,40,370.15325,1
47,2611923443488655618,20,20,random,1,92,38,378.805084,1
48,2611923443488655619,20,20,random,1,91,29,358.760917,1
49,2611923443488655620,20,20,random,1,90,32,373.23725,1
