index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,90,30,640.445,1
1,2611923443488655572,20,20,random,1,94,38,627.199458,1
2,2611923443488655573,20,20,random,1,88,41,648.078917,1
3,2611923443488655574,20,20,random,1,89,32,632.441875,1
4,2611923443488655575,20,20,random,1,93,42,658.562,1
5,2611923443488655576,20,20,random,1,96,33,637.280583,1
6,2611923443488655577,20,20,random,1,86,29,658.169041,1
7,2611923443488655578,20,20,random,1,91,41,654.120333,1
8,2611923443488655579,20,20,random,1,90,39,671.599959,1
9,2611923443488655580,20,20,random,1,95,37,597.641333,1
10,2611923443488655581,20,20,random,1,93,31,648.151625,1
11,2611923443488655582,20,20,random,1,94,42,676.930625,1
12,2611923443488655583,20,20,random,1,93,38,609.961542,1
13,2611923443488655584,20,20,random,1,94,36,653.42,1
14,2611923443488655585,20,20,random,1,89,40,640.77175,1
15,2611923443488655586,20,20,random,1,90,31,620.430792,1
16,2611923443488655587,20,20,random,1,96,42,673.769833,1
17,2611923443488655588,20,20,random,1,98,39,619.752,1
18,2611923443488655589,20,20,random,1,98,37,648.441791,1
19,2611923443488655590,20,20,random,1,101,36,648.837292,1
20,2611923443488655591,20,20,random,1,93,27,640.37825,1
21,2611923443488655592,20,20,random,1,92,38,646.959583,1
22,2611923443488655593,20,20,random,1,94,32,661.30375,1
23,2611923443488655594,20,20,random,1,93,28,691.768875,1
24,2611923443488655595,20,20,random,1,88,30,611.415542,1
25,2611923443488655596,20,20,random,1,89,30,637.788666,1
26,2611923443488655597,20,20,random,1,91,29,646.244166,1
27,2611923443488655598,20,20,random,1,89,33,675.786833,1
28,2611923443488655599,20,20,random,1,92,35,666.439292,1
29,2611923443488655600,20,20,random,1,89,32,624.943709,1
30,2611923443488655601,20,20,random,1,96,40,622.553375,1
31,2611923443488655602,20,20,random,1,94,30,628.412375,1
32,2611923443488655603,20,20,random,1,92,35,654.402708,1
33,2611923443488655604,20,20,random,1,97,36,640.961417,1
34,2611923443488655605,20,20,random,1,91,36,620.666625,1
35,2611923443488655606,20,20,random,1,95,35,652.693792,1
36,2611923443488655607,20,20,random,1,91,27,619.096292,1
37,2611923443488655608,20,20,random,1,96,35,657.240167,1
38,2611923443488655609,20,20,random,1,96,31,658.512584,1
39,2611923443488655610,20,20,random,1,91,25,612.788709,1
40,2611923443488655611,20,20,random,1,97,35,644.148667,1
41,2611923443488655612,20,20,random,1,93,31,611.301375,1
42,2611923443488655613,20,20,random,1,95,37,618.769083,1
43,2611923443488655614,20,20,random,1,94,38,650.226125,1
44,2611923443488655615,20,20,random,1,93,28,615.798959,1
45,2611923443488655616,20,20,random,1,92,29,615.560208,1
46,2611923443488655617,20,20,random,1,92,32,650.573791,1
47,2611923443488655618,20,20,random,1,95,35,649.01325,1
48,2611923443488655619,20,20,random,1,88,25,627.234833,1
49,2611923443488655620,20,20,random,1,90,32,640.209458,1
