index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,101,43,470.652375,1
1,15111065706836782340,20,20,random,1,105,41,438.4685,1
2,15111065706836782341,20,20,random,1,96,35,451.562083,1
3,15111065706836782342,20,20,random,1,94,32,480.078917,1
4,15111065706836782343,20,20,random,1,100,38,488.210167,1
5,15111065706836782344,20,20,random,1,99,39,449.853167,1
6,15111065706836782345,20,20,random,1,94,29,478.072416,1
7,15111065706836782346,20,20,random,1,99,36,452.306625,1
8,15111065706836782347,20,20,random,1,98,41,490.85125,1
9,15111065706836782348,20,20,random,1,96,47,459.811125,1
10,15111065706836782349,20,20,random,1,99,42,483.439166,1
11,15111065706836782350,20,20,random,1,98,46,498.961458,1
12,15111065706836782351,20,20,random,1,98,32,509.777458,1
13,15111065706836782352,20,20,random,1,93,45,463.226125,1
14,15111065706836782353,20,20,random,1,92,33,456.821792,1
15,15111065706836782354,20,20,random,1,92,38,487.292584,1
16,15111065706836782355,20,20,random,1,104,34,457.238334,1
17,15111065706836782356,20,20,random,1,97,41,458.605792,1
18,15111065706836782357,20,20,random,1,98,42,500.242333,1
19,15111065706836782358,20,20,random,1,100,43,474.643708,1
20,15111065706836782359,20,20,random,1,95,31,472.892417,1
21,15111065706836782360,20,20,random,1,107,34,473.229541,1
22,15111065706836782361,20,20,random,1,96,44,476.786458,1
23,15111065706836782362,20,20,random,1,96,33,591.252834,1
24,15111065706836782363,20,20,random,1,97,46,518.178334,1
25,15111065706836782364,20,20,random,1,101,33,479.12175,1
26,15111065706836782365,20,20,random,1,99,33,465.398458,1
27,15111065706836782366,20,20,random,1,105,37,464.561375,1
28,15111065706836782367,20,20,random,1,96,35,480.7155,1
29,15111065706836782368,20,20,random,1,93,36,461.184792,1
30,15111065706836782369,20,20,random,1,98,33,467.636541,1
31,15111065706836782370,20,20,random,1,97,33,491.037542,1
32,15111065706836782371,20,20,random,1,104,42,459.220667,1
33,15111065706836782372,20,20,random,1,91,43,469.443791,1
34,15111065706836782373,20,20,random,1,92,34,472.574708,1
35,15111065706836782374,20,20,random,1,101,29,511.156,1
36,15111065706836782375,20,20,random,1,88,25,495.824375,1
37,15111065706836782376,20,20,random,1,102,36,463.209917,1
38,15111065706836782377,20,20,random,1,103,47,457.01475,1
39,15111065706836782378,20,20,random,1,92,24,510.689041,1
40,15111065706836782379,20,20,random,1,103,25,496.144,1
41,15111065706836782380,20,20,random,1,93,31,504.816584,1
42,15111065706836782381,20,20,random,1,94,24,491.872375,1
43,15111065706836782382,20,20,random,1,106,45,470.955417,1
44,15111065706836782383,20,20,random,1,87,38,484.200625,1
45,15111065706836782384,20,20,random,1,97,41,461.202958,1
46,15111065706836782385,20,20,random,1,96,34,471.88125,1
47,15111065706836782386,20,20,random,1,107,58,455.104459,1
48,15111065706836782387,20,20,random,1,98,35,467.143625,1
49,15111065706836782388,20,20,random,1,97,36,493.974375,1
