index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,95,29,483.377334,1
1,2611923443488655572,20,20,random,1,100,34,442.381833,1
2,2611923443488655573,20,20,random,1,88,41,475.355625,1
3,2611923443488655574,20,20,random,1,94,35,465.026584,1
4,2611923443488655575,20,20,random,1,101,53,488.127917,1
5,2611923443488655576,20,20,random,1,99,33,446.735875,1
6,2611923443488655577,20,20,random,1,98,32,476.157416,1
7,2611923443488655578,20,20,random,1,97,41,457.26225,1
8,2611923443488655579,20,20,random,1,101,48,467.765208,1
9,2611923443488655580,20,20,random,1,104,51,447.639417,1
10,2611923443488655581,20,20,random,1,93,31,467.435792,1
11,2611923443488655582,20,20,random,1,97,41,449.6095,1
12,2611923443488655583,20,20,random,1,100,38,450.874,1
13,2611923443488655584,20,20,random,1,94,36,447.815042,1
14,2611923443488655585,20,20,random,1,89,40,448.874875,1
15,2611923443488655586,20,20,random,1,90,31,460.360375,1
16,2611923443488655587,20,20,random,1,99,35,443.725042,1
17,2611923443488655588,20,20,random,1,101,39,446.675458,1
18,2611923443488655589,20,20,random,1,100,38,457.375542,1
19,2611923443488655590,20,20,random,1,103,39,457.173542,1
20,2611923443488655591,20,20,random,1,94,27,488.382416,1
21,2611923443488655592,20,20,random,1,94,35,463.837,1
22,2611923443488655593,20,20,random,1,94,32,456.141709,1
23,2611923443488655594,20,20,random,1,98,29,473.319875,1
24,2611923443488655595,20,20,random,1,94,30,457.798583,1
25,2611923443488655596,20,20,random,1,89,30,483.848584,1
26,2611923443488655597,20,20,random,1,91,29,472.408,1
27,2611923443488655598,20,20,random,1,88,32,470.079333,1
28,2611923443488655599,20,20,random,1,92,35,457.819167,1
29,2611923443488655600,20,20,random,1,91,36,458.216625,1
30,2611923443488655601,20,20,random,1,99,36,472.11825,1
31,2611923443488655602,20,20,random,1,96,26,486.729416,1
32,2611923443488655603,20,20,random,1,93,33,462.82875,1
33,2611923443488655604,20,20,random,1,97,45,456.623833,1
34,2611923443488655605,20,20,random,1,103,35,454.178,1
35,2611923443488655606,20,20,random,1,103,42,449.503,1
36,2611923443488655607,20,20,random,1,94,29,493.133834,1
37,2611923443488655608,20,20,random,1,96,35,465.810458,1
38,2611923443488655609,20,20,random,1,105,42,471.164208,1
39,2611923443488655610,20,20,random,1,99,25,489.45125,1
40,2611923443488655611,20,20,random,1,99,38,453.868375,1
41,2611923443488655612,20,20,random,1,93,31,489.326417,1
42,2611923443488655613,20,20,random,1,102,35,451.875834,1
43,2611923443488655614,20,20,random,1,102,38,452.591458,1
44,2611923443488655615,20,20,random,1,94,25,478.43375,1
45,2611923443488655616,20,20,random,1,92,29,484.308,1
46,2611923443488655617,20,20,random,1,102,39,460.882958,1
47,2611923443488655618,20,20,random,1,102,40,480.872167,1
48,2611923443488655619,20,20,random,1,94,27,476.635958,1
49,2611923443488655620,20,20,random,1,96,37,471.11,1
