index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,80,37,1004.446458,1
1,15111065706836782340,20,20,random,1,88,40,1004.887833,1
2,15111065706836782341,20,20,random,1,83,36,1004.460333,1
3,15111065706836782342,20,20,random,1,79,30,1004.353917,1
4,15111065706836782343,20,20,random,1,81,35,1004.645708,1
5,15111065706836782344,20,20,random,1,86,40,1005.681959,1
6,15111065706836782345,20,20,random,1,82,34,1004.404791,1
7,15111065706836782346,20,20,random,1,84,38,1004.399667,1
8,15111065706836782347,20,20,random,1,81,33,1005.430417,1
9,15111065706836782348,20,20,random,1,84,41,1004.306542,1
10,15111065706836782349,20,20,random,1,83,33,1004.448875,1
11,15111065706836782350,20,20,random,1,83,28,1004.500291,1
12,15111065706836782351,20,20,random,1,88,34,1005.295917,1
13,15111065706836782352,20,20,random,1,80,37,1004.310167,1
14,15111065706836782353,20,20,random,1,87,43,1004.266958,1
15,15111065706836782354,20,20,random,1,84,28,1005.14825,1
16,15111065706836782355,20,20,random,1,86,35,1004.21275,1
17,15111065706836782356,20,20,random,1,88,38,1004.386459,1
18,15111065706836782357,20,20,random,1,85,35,1004.340458,1
19,15111065706836782358,20,20,random,1,84,32,1004.798709,1
20,15111065706836782359,20,20,random,1,80,34,1004.460958,1
21,15111065706836782360,20,20,random,1,86,34,1004.331333,1
22,15111065706836782361,20,20,random,1,78,34,1004.822584,1
23,15111065706836782362,20,20,random,1,83,28,1004.986125,1
24,15111065706836782363,20,20,random,1,79,36,1004.211917,1
25,15111065706836782364,20,20,random,1,85,30,1004.496167,1
26,15111065706836782365,20,20,random,1,89,32,1004.319125,1
27,15111065706836782366,20,20,random,1,87,36,1004.382667,1
28,15111065706836782367,20,20,random,1,79,31,1004.2275,1
29,15111065706836782368,20,20,random,1,84,41,1004.599583,1
30,15111065706836782369,20,20,random,1,85,43,1005.474458,1
31,15111065706836782370,20,20,random,1,79,33,1004.361875,1
32,15111065706836782371,20,20,random,1,86,39,1004.523875,1
33,15111065706836782372,20,20,random,1,86,33,1004.91375,1
34,15111065706836782373,20,20,random,1,85,34,1004.349,1
35,15111065706836782374,20,20,random,1,85,28,1004.459792,1
36,15111065706836782375,20,20,random,1,82,26,1004.478166,1
37,15111065706836782376,20,20,random,1,81,38,1004.799208,1
38,15111065706836782377,20,20,random,1,87,39,1004.378458,1
39,15111065706836782378,20,20,random,1,83,30,1004.503041,1
40,15111065706836782379,20,20,random,1,82,28,1004.482709,1
41,15111065706836782380,20,20,random,1,83,32,1004.453333,1
42,15111065706836782381,20,20,random,1,79,24,1004.500917,1
43,15111065706836782382,20,20,random,1,87,36,1004.538958,1
44,15111065706836782383,20,20,random,1,82,34,1004.507333,1
45,15111065706836782384,20,20,random,1,87,39,1004.556416,1
46,15111065706836782385,20,20,random,1,84,31,1004.356042,1
47,15111065706836782386,20,20,random,1,88,44,1004.504958,1
48,15111065706836782387,20,20,random,1,84,40,1004.265792,1
49,15111065706836782388,20,20,random,1,79,28,1004.415541,1
