index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,86,32,1007.277666,1
1,15111065706836782340,20,20,random,1,89,47,1004.225209,1
2,15111065706836782341,20,20,random,1,84,34,1004.447625,1
3,15111065706836782342,20,20,random,1,81,31,1004.270459,1
4,15111065706836782343,20,20,random,1,84,32,1004.288291,1
5,15111065706836782344,20,20,random,1,84,41,1004.617333,1
6,15111065706836782345,20,20,random,1,83,29,1004.236584,1
7,15111065706836782346,20,20,random,1,86,37,1004.412541,1
8,15111065706836782347,20,20,random,1,84,28,1004.489458,1
9,15111065706836782348,20,20,random,1,86,43,1004.323916,1
10,15111065706836782349,20,20,random,1,81,31,1004.379542,1
11,15111065706836782350,20,20,random,1,85,24,1004.955792,1
12,15111065706836782351,20,20,random,1,88,40,1006.975792,1
13,15111065706836782352,20,20,random,1,81,34,1005.30725,1
14,15111065706836782353,20,20,random,1,87,35,1004.197,1
15,15111065706836782354,20,20,random,1,82,28,1004.290208,1
16,15111065706836782355,20,20,random,1,86,32,1004.426333,1
17,15111065706836782356,20,20,random,1,87,43,1004.364125,1
18,15111065706836782357,20,20,random,1,84,36,1004.271542,1
19,15111065706836782358,20,20,random,1,82,32,1004.400833,1
20,15111065706836782359,20,20,random,1,85,33,1004.575291,1
21,15111065706836782360,20,20,random,1,86,39,1004.467375,1
22,15111065706836782361,20,20,random,1,80,37,1004.45325,1
23,15111065706836782362,20,20,random,1,81,31,1004.297959,1
24,15111065706836782363,20,20,random,1,82,37,1004.230792,1
25,15111065706836782364,20,20,random,1,84,32,1004.395834,1
26,15111065706836782365,20,20,random,1,87,35,1004.076875,1
27,15111065706836782366,20,20,random,1,88,40,1004.27475,1
28,15111065706836782367,20,20,random,1,79,42,1004.187333,1
29,15111065706836782368,20,20,random,1,84,41,1004.381167,1
30,15111065706836782369,20,20,random,1,86,36,1004.195625,1
31,15111065706836782370,20,20,random,1,80,31,1004.334,1
32,15111065706836782371,20,20,random,1,87,38,1004.182458,1
33,15111065706836782372,20,20,random,1,87,33,1004.360167,1
34,15111065706836782373,20,20,random,1,86,33,1004.2805,1
35,15111065706836782374,20,20,random,1,84,28,1004.5105,1
36,15111065706836782375,20,20,random,1,82,25,1004.259125,1
37,15111065706836782376,20,20,random,1,83,33,1004.174167,1
38,15111065706836782377,20,20,random,1,87,47,1004.254959,1
39,15111065706836782378,20,20,random,1,82,32,1004.458916,1
40,15111065706836782379,20,20,random,1,82,24,1004.307459,1
41,15111065706836782380,20,20,random,1,87,31,1004.293917,1
42,15111065706836782381,20,20,random,1,76,26,1004.365417,1
43,15111065706836782382,20,20,random,1,85,33,1004.895584,1
44,15111065706836782383,20,20,random,1,80,32,1004.323166,1
45,15111065706836782384,20,20,random,1,88,39,1004.251875,1
46,15111065706836782385,20,20,random,1,85,35,1004.321791,1
47,15111065706836782386,20,20,random,1,89,46,1004.27775,1
48,15111065706836782387,20,20,random,1,83,36,1004.149541,1
49,15111065706836782388,20,20,random,1,76,27,1004.4425,1
