index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,84,36,1004.597792,1
1,15111065706836782340,20,20,random,1,87,39,1004.5195,1
2,15111065706836782341,20,20,random,1,87,33,1004.510584,1
3,15111065706836782342,20,20,random,1,81,31,1004.398458,1
4,15111065706836782343,20,20,random,1,81,30,1004.641125,1
5,15111065706836782344,20,20,random,1,84,41,1004.576166,1
6,15111065706836782345,20,20,random,1,83,31,1004.480916,1
7,15111065706836782346,20,20,random,1,85,38,1004.836958,1
8,15111065706836782347,20,20,random,1,85,36,1004.656959,1
9,15111065706836782348,20,20,random,1,80,49,1004.406959,1
10,15111065706836782349,20,20,random,1,82,24,1017.140541,1
11,15111065706836782350,20,20,random,1,86,25,1028.974625,1
12,15111065706836782351,20,20,random,1,89,33,1004.4785,1
13,15111065706836782352,20,20,random,1,83,39,1004.425541,1
14,15111065706836782353,20,20,random,1,87,42,1004.442917,1
15,15111065706836782354,20,20,random,1,83,35,1004.375875,1
16,15111065706836782355,20,20,random,1,85,34,1004.496667,1
17,15111065706836782356,20,20,random,1,87,37,1004.465166,1
18,15111065706836782357,20,20,random,1,84,35,1004.543709,1
19,15111065706836782358,20,20,random,1,84,33,1004.669,1
20,15111065706836782359,20,20,random,1,83,37,1004.525542,1
21,15111065706836782360,20,20,random,1,86,33,1004.54225,1
22,15111065706836782361,20,20,random,1,83,31,1004.670125,1
23,15111065706836782362,20,20,random,1,81,32,1004.415917,1
24,15111065706836782363,20,20,random,1,81,36,1004.279167,1
25,15111065706836782364,20,20,random,1,83,31,1004.67625,1
26,15111065706836782365,20,20,random,1,86,33,1004.455708,1
27,15111065706836782366,20,20,random,1,87,39,1004.363417,1
28,15111065706836782367,20,20,random,1,79,31,1004.359333,1
29,15111065706836782368,20,20,random,1,84,41,1004.789291,1
30,15111065706836782369,20,20,random,1,84,36,1004.446,1
31,15111065706836782370,20,20,random,1,79,36,1004.353041,1
32,15111065706836782371,20,20,random,1,87,38,1004.422583,1
33,15111065706836782372,20,20,random,1,84,28,1004.460042,1
34,15111065706836782373,20,20,random,1,83,31,1004.37725,1
35,15111065706836782374,20,20,random,1,85,26,1004.616333,1
36,15111065706836782375,20,20,random,1,81,30,1004.708416,1
37,15111065706836782376,20,20,random,1,84,35,1007.200666,1
38,15111065706836782377,20,20,random,1,87,37,1004.443875,1
39,15111065706836782378,20,20,random,1,81,34,1004.77825,1
40,15111065706836782379,20,20,random,1,84,28,1004.5295,1
41,15111065706836782380,20,20,random,1,86,30,1004.327542,1
42,15111065706836782381,20,20,random,1,77,26,1004.70175,1
43,15111065706836782382,20,20,random,1,86,38,1005.983042,1
44,15111065706836782383,20,20,random,1,83,32,1004.674083,1
45,15111065706836782384,20,20,random,1,87,56,1004.458625,1
46,15111065706836782385,20,20,random,1,84,37,1005.125125,1
47,15111065706836782386,20,20,random,1,88,49,1007.572459,1
48,15111065706836782387,20,20,random,1,80,40,1004.381083,1
49,15111065706836782388,20,20,random,1,78,29,1004.569291,1
