index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488655571,20,20,random,1,89,37,578.706542,1
1,2611923443488655572,20,20,random,1,89,36,579.999209,1
2,2611923443488655573,20,20,random,1,88,41,570.564375,1
3,2611923443488655574,20,20,random,1,89,32,560.459167,1
4,2611923443488655575,20,20,random,1,91,29,603.38475,1
5,2611923443488655576,20,20,random,1,87,39,552.077208,1
6,2611923443488655577,20,20,random,1,86,29,577.892,1
7,2611923443488655578,20,20,random,1,92,43,538.44725,1
8,2611923443488655579,20,20,random,1,90,39,593.092833,1
9,2611923443488655580,20,20,random,1,94,40,511.617833,1
10,2611923443488655581,20,20,random,1,93,31,554.387458,1
11,2611923443488655582,20,20,random,1,94,42,598.362083,1
12,2611923443488655583,20,20,random,1,93,37,559.016458,1
13,2611923443488655584,20,20,random,1,91,35,561.247458,1
14,2611923443488655585,20,20,random,1,89,40,562.781667,1
15,2611923443488655586,20,20,random,1,87,32,533.552625,1
16,2611923443488655587,20,20,random,1,92,35,592.608125,1
17,2611923443488655588,20,20,random,1,98,39,547.69325,1
18,2611923443488655589,20,20,random,1,87,37,563.460041,1
19,2611923443488655590,20,20,random,1,94,38,568.771458,1
20,2611923443488655591,20,20,random,1,93,27,565.91525,1
21,2611923443488655592,20,20,random,1,87,36,559.779959,1
22,2611923443488655593,20,20,random,1,94,32,585.368083,1
23,2611923443488655594,20,20,random,1,92,33,567.525625,1
24,2611923443488655595,20,20,random,1,84,33,546.863292,1
25,2611923443488655596,20,20,random,1,89,30,560.856792,1
26,2611923443488655597,20,20,random,1,91,29,565.923959,1
27,2611923443488655598,20,20,random,1,89,33,594.102959,1
28,2611923443488655599,20,20,random,1,92,35,557.370542,1
29,2611923443488655600,20,20,random,1,89,32,543.220833,1
30,2611923443488655601,20,20,random,1,91,40,566.439625,1
31,2611923443488655602,20,20,random,1,89,35,542.534125,1
32,2611923443488655603,20,20,random,1,87,34,571.285917,1
33,2611923443488655604,20,20,random,1,94,40,551.769791,1
34,2611923443488655605,20,20,random,1,89,39,548.51575,1
35,2611923443488655606,20,20,random,1,95,35,571.690792,1
36,2611923443488655607,20,20,random,1,88,28,551.794875,1
37,2611923443488655608,20,20,random,1,96,35,576.034958,1
38,2611923443488655609,20,20,random,1,95,35,574.249208,1
39,2611923443488655610,20,20,random,1,91,25,547.945708,1
40,2611923443488655611,20,20,random,1,96,33,569.471375,1
41,2611923443488655612,20,20,random,1,90,34,573.602292,1
42,2611923443488655613,20,20,random,1,95,37,541.398583,1
43,2611923443488655614,20,20,random,1,95,35,589.835958,1
44,2611923443488655615,20,20,random,1,93,28,546.523333,1
45,2611923443488655616,20,20,random,1,90,26,565.665042,1
46,2611923443488655617,20,20,random,1,92,32,585.558416,1
47,2611923443488655618,20,20,random,1,94,34,587.294333,1
48,2611923443488655619,20,20,random,1,88,35,549.802708,1
49,2611923443488655620,20,20,random,1,90,32,582.201959,1
