index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,87,37,1006.309916,1
1,15111065706836782340,20,20,random,1,89,40,1004.852292,1
2,15111065706836782341,20,20,random,1,87,34,1004.324208,1
3,15111065706836782342,20,20,random,1,81,32,1004.439541,1
4,15111065706836782343,20,20,random,1,83,34,1004.583542,1
5,15111065706836782344,20,20,random,1,88,39,1004.526916,1
6,15111065706836782345,20,20,random,1,83,31,1004.5375,1
7,15111065706836782346,20,20,random,1,89,38,1004.366584,1
8,15111065706836782347,20,20,random,1,89,28,1004.551125,1
9,15111065706836782348,20,20,random,1,80,49,1004.728959,1
10,15111065706836782349,20,20,random,1,79,25,1004.424833,1
11,15111065706836782350,20,20,random,1,84,30,1004.548958,1
12,15111065706836782351,20,20,random,1,88,33,1004.748209,1
13,15111065706836782352,20,20,random,1,85,32,1005.59075,1
14,15111065706836782353,20,20,random,1,87,43,1004.232416,1
15,15111065706836782354,20,20,random,1,83,30,1004.619292,1
16,15111065706836782355,20,20,random,1,89,33,1004.909167,1
17,15111065706836782356,20,20,random,1,88,43,1004.365917,1
18,15111065706836782357,20,20,random,1,87,38,1004.39175,1
19,15111065706836782358,20,20,random,1,84,34,1005.380916,1
20,15111065706836782359,20,20,random,1,86,32,1004.891375,1
21,15111065706836782360,20,20,random,1,85,32,1004.289292,1
22,15111065706836782361,20,20,random,1,83,35,1004.647667,1
23,15111065706836782362,20,20,random,1,82,35,1004.31175,1
24,15111065706836782363,20,20,random,1,82,37,1004.298584,1
25,15111065706836782364,20,20,random,1,85,34,1004.470333,1
26,15111065706836782365,20,20,random,1,88,37,1006.322708,1
27,15111065706836782366,20,20,random,1,88,40,1004.425167,1
28,15111065706836782367,20,20,random,1,79,31,1005.125792,1
29,15111065706836782368,20,20,random,1,84,41,1018.053,1
30,15111065706836782369,20,20,random,1,88,34,1004.288542,1
31,15111065706836782370,20,20,random,1,82,33,1004.374375,1
32,15111065706836782371,20,20,random,1,88,45,1004.262541,1
33,15111065706836782372,20,20,random,1,84,37,1004.496667,1
34,15111065706836782373,20,20,random,1,86,37,1004.287625,1
35,15111065706836782374,20,20,random,1,85,28,1004.549791,1
36,15111065706836782375,20,20,random,1,83,27,1004.621167,1
37,15111065706836782376,20,20,random,1,86,34,1004.3905,1
38,15111065706836782377,20,20,random,1,90,44,1004.306875,1
39,15111065706836782378,20,20,random,1,82,27,1004.551417,1
40,15111065706836782379,20,20,random,1,83,27,1004.385083,1
41,15111065706836782380,20,20,random,1,86,30,1004.245458,1
42,15111065706836782381,20,20,random,1,78,31,1004.360125,1
43,15111065706836782382,20,20,random,1,88,35,1004.408959,1
44,15111065706836782383,20,20,random,1,84,30,1004.759666,1
45,15111065706836782384,20,20,random,1,87,56,1004.374416,1
46,15111065706836782385,20,20,random,1,87,33,1004.360209,1
47,15111065706836782386,20,20,random,1,90,39,1004.357084,1
48,15111065706836782387,20,20,random,1,86,40,1004.370416,1
49,15111065706836782388,20,20,random,1,78,36,1004.879458,1
