index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488393427,5,5,random,0.02,3,10,20.139042,1
1,2611923443488393428,5,5,random,0.02,3,7,20.101791,1
2,2611923443488393429,5,5,random,0.02,4,9,20.083125,1
3,2611923443488393430,5,5,random,0.02,4,6,20.082834,1
4,2611923443488393431,5,5,random,0.02,4,7,20.087209,1
5,2611923443488393432,5,5,random,0.02,4,8,20.08075,1
6,2611923443488393433,5,5,random,0.02,4,7,20.093709,1
7,2611923443488393434,5,5,random,0.02,4,7,20.072167,1
8,2611923443488393435,5,5,random,0.02,3,8,20.084584,1
9,2611923443488393436,5,5,random,0.02,3,10,20.073292,1
10,2611923443488393437,5,5,random,0.02,4,7,20.0815,1
11,2611923443488393438,5,5,random,0.02,5,9,20.076083,1
12,2611923443488393439,5,5,random,0.02,4,8,20.084875,1
13,2611923443488393440,5,5,random,0.02,3,8,20.069833,1
14,2611923443488393441,5,5,random,0.02,5,6,20.085334,1
15,2611923443488393442,5,5,random,0.02,4,6,20.088541,1
16,2611923443488393443,5,5,random,0.02,3,7,20.086125,1
17,2611923443488393444,5,5,random,0.02,4,7,20.076458,1
18,2611923443488393445,5,5,random,0.02,3,8,20.091459,1
19,2611923443488393446,5,5,random,0.02,4,9,20.091416,1
20,2611923443488393447,5,5,random,0.02,5,7,20.193625,1
21,2611923443488393448,5,5,random,0.02,4,7,20.081625,1
22,2611923443488393449,5,5,random,0.02,5,8,20.07275,1
23,2611923443488393450,5,5,random,0.02,5,6,20.082667,1
24,2611923443488393451,5,5,random,0.02,4,8,20.087875,1
25,2611923443488393452,5,5,random,0.02,3,8,20.090791,1
26,2611923443488393453,5,5,random,0.02,4,10,20.065166,1
27,2611923443488393454,5,5,random,0.02,4,6,20.085958,1
28,2611923443488393455,5,5,random,0.02,5,7,20.091292,1
29,2611923443488393456,5,5,random,0.02,4,8,20.094792,1
30,2611923443488393457,5,5,random,0.02,4,6,20.068375,1
31,2611923443488393458,5,5,random,0.02,3,7,20.093875,1
32,2611923443488393459,5,5,random,0.02,4,6,20.089334,1
33,2611923443488393460,5,5,random,0.02,3,9,20.082083,1
34,2611923443488393461,5,5,random,0.02,4,8,20.122625,1
35,2611923443488393462,5,5,random,0.02,4,8,20.081667,1
36,2611923443488393463,5,5,random,0.02,3,7,20.088042,1
37,2611923443488393464,5,5,random,0.02,4,7,20.076208,1
38,2611923443488393465,5,5,random,0.02,3,6,20.078208,1
39,2611923443488393466,5,5,random,0.02,4,6,20.077167,1
40,2611923443488393467,5,5,random,0.02,5,8,20.074834,1
41,2611923443488393468,5,5,random,0.02,4,5,20.08975,1
42,2611923443488393469,5,5,random,0.02,5,12,20.089292,1
43,2611923443488393470,5,5,random,0.02,4,6,20.083458,1
44,2611923443488393471,5,5,random,0.02,4,9,20.07625,1
45,2611923443488393472,5,5,random,0.02,4,9,20.079,1
46,2611923443488393473,5,5,random,0.02,5,6,20.084416,1
47,2611923443488393474,5,5,random,0.02,3,7,20.068709,1
48,2611923443488393475,5,5,random,0.02,4,8,20.073666,1
49,2611923443488393476,5,5,random,0.02,3,8,20.079291,1
50,2611923443488393477,5,5,random,0.02,4,7,20.083,1
51,2611923443488393478,5,5,random,0.02,3,10,20.057209,1
52,2611923443488393479,5,5,random,0.02,3,8,20.067583,1
53,2611923443488393480,5,5,random,0.02,4,8,20.09075,1
