index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,15111065706836782339,20,20,random,1,93,47,468.859208,1
1,15111065706836782340,20,20,random,1,98,43,442.615667,1
2,15111065706836782341,20,20,random,1,96,33,448.480667,1
3,15111065706836782342,20,20,random,1,94,32,463.42025,1
4,15111065706836782343,20,20,random,1,95,31,486.939041,1
5,15111065706836782344,20,20,random,1,98,38,454.833792,1
6,15111065706836782345,20,20,random,1,86,29,520.714083,1
7,15111065706836782346,20,20,random,1,97,38,453.291709,1
8,15111065706836782347,20,20,random,1,98,41,480.283167,1
9,15111065706836782348,20,20,random,1,92,47,444.248459,1
10,15111065706836782349,20,20,random,1,99,42,473.8555,1
11,15111065706836782350,20,20,random,1,93,29,483.642667,1
12,15111065706836782351,20,20,random,1,98,32,465.453,1
13,15111065706836782352,20,20,random,1,93,45,456.727125,1
14,15111065706836782353,20,20,random,1,92,33,454.949166,1
15,15111065706836782354,20,20,random,1,92,38,483.239042,1
16,15111065706836782355,20,20,random,1,99,34,455.678375,1
17,15111065706836782356,20,20,random,1,97,41,450.825416,1
18,15111065706836782357,20,20,random,1,96,28,459.79475,1
19,15111065706836782358,20,20,random,1,96,41,475.18375,1
20,15111065706836782359,20,20,random,1,92,28,452.087917,1
21,15111065706836782360,20,20,random,1,100,38,464.89425,1
22,15111065706836782361,20,20,random,1,94,32,475.059958,1
23,15111065706836782362,20,20,random,1,96,33,492.196125,1
24,15111065706836782363,20,20,random,1,96,46,455.148667,1
25,15111065706836782364,20,20,random,1,96,31,487.195208,1
26,15111065706836782365,20,20,random,1,99,33,448.422083,1
27,15111065706836782366,20,20,random,1,95,34,474.481458,1
28,15111065706836782367,20,20,random,1,93,40,469.082333,1
29,15111065706836782368,20,20,random,1,92,32,459.448167,1
30,15111065706836782369,20,20,random,1,98,33,457.227417,1
31,15111065706836782370,20,20,random,1,87,34,481.843,1
32,15111065706836782371,20,20,random,1,100,41,449.302458,1
33,15111065706836782372,20,20,random,1,91,42,471.143125,1
34,15111065706836782373,20,20,random,1,92,34,463.393375,1
35,15111065706836782374,20,20,random,1,94,29,489.456667,1
36,15111065706836782375,20,20,random,1,88,25,483.209667,1
37,15111065706836782376,20,20,random,1,94,36,453.609125,1
38,15111065706836782377,20,20,random,1,95,42,458.214083,1
39,15111065706836782378,20,20,random,1,92,24,497.728084,1
40,15111065706836782379,20,20,random,1,96,34,488.977208,1
41,15111065706836782380,20,20,random,1,93,31,482.736666,1
42,15111065706836782381,20,20,random,1,89,25,476.229084,1
43,15111065706836782382,20,20,random,1,102,38,468.850583,1
44,15111065706836782383,20,20,random,1,87,38,473.63175,1
45,15111065706836782384,20,20,random,1,93,39,479.027375,1
46,15111065706836782385,20,20,random,1,94,31,454.775458,1
47,15111065706836782386,20,20,random,1,101,58,455.58825,1
48,15111065706836782387,20,20,random,1,95,57,456.202667,1
49,15111065706836782388,20,20,random,1,94,32,478.48325,1
