index,seed,rows,cols,family,seconds,swaps,worst,runtime_ms,valid
0,2611923443488393427,5,5,random,0.02,3,10,20.090959,1
1,2611923443488393428,5,5,random,0.02,3,7,20.059375,1
2,2611923443488393429,5,5,random,0.02,4,9,20.049083,1
3,2611923443488393430,5,5,random,0.02,4,5,20.055208,1
4,2611923443488393431,5,5,random,0.02,4,7,20.066542,1
5,2611923443488393432,5,5,random,0.02,4,8,20.06225,1
6,2611923443488393433,5,5,random,0.02,4,7,20.062208,1
7,2611923443488393434,5,5,random,0.02,4,7,20.057167,1
8,2611923443488393435,5,5,random,0.02,3,8,20.052417,1
9,2611923443488393436,5,5,random,0.02,3,10,20.051083,1
10,2611923443488393437,5,5,random,0.02,4,7,20.05125,1
11,2611923443488393438,5,5,random,0.02,5,9,20.059208,1
12,2611923443488393439,5,5,random,0.02,4,8,20.067042,1
13,2611923443488393440,5,5,random,0.02,3,8,20.055833,1
14,2611923443488393441,5,5,random,0.02,5,6,20.07025,1
15,2611923443488393442,5,5,random,0.02,4,6,20.063542,1
16,2611923443488393443,5,5,random,0.02,3,7,20.070209,1
17,2611923443488393444,5,5,random,0.02,4,7,20.061083,1
18,2611923443488393445,5,5,random,0.02,3,8,20.061542,1
19,2611923443488393446,5,5,random,0.02,4,9,20.36525,1
20,2611923443488393447,5,5,random,0.02,5,7,20.070125,1
21,2611923443488393448,5,5,random,0.02,4,7,20.068459,1
22,2611923443488393449,5,5,random,0.02,5,8,20.057292,1
23,2611923443488393450,5,5,random,0.02,5,6,20.059458,1
24,2611923443488393451,5,5,random,0.02,4,8,20.055042,1
25,2611923443488393452,5,5,random,0.02,3,8,20.058833,1
26,2611923443488393453,5,5,random,0.02,4,10,20.045334,1
27,2611923443488393454,5,5,random,0.02,4,6,20.060083,1
28,2611923443488393455,5,5,random,0.02,5,7,20.065334,1
29,2611923443488393456,5,5,random,0.02,4,8,20.061083,1
30,2611923443488393457,5,5,random,0.02,4,6,20.062041,1
31,2611923443488393458,5,5,random,0.02,3,7,20.069083,1
32,2611923443488393459,5,5,random,0.02,4,6,20.060916,1
33,2611923443488393460,5,5,random,0.02,3,9,20.060541,1
34,2611923443488393461,5,5,random,0.02,4,8,20.069541,1
35,2611923443488393462,5,5,random,0.02,4,8,20.112375,1
36,2611923443488393463,5,5,random,0.02,3,7,20.065125,1
37,2611923443488393464,5,5,random,0.02,4,7,20.053084,1
38,2611923443488393465,5,5,random,0.02,3,6,20.054708,1
39,2611923443488393466,5,5,random,0.02,4,6,20.067917,1
40,2611923443488393467,5,5,random,0.02,5,8,20.05375,1
41,2611923443488393468,5,5,random,0.02,4,5,20.057375,1
42,2611923443488393469,5,5,random,0.02,5,9,20.058083,1
43,2611923443488393470,5,5,random,0.02,4,6,20.06875,1
44,2611923443488393471,5,5,random,0.02,4,9,20.054667,1
45,2611923443488393472,5,5,random,0.02,4,9,20.062417,1
46,2611923443488393473,5,5,random,0.02,5,6,20.055584,1
47,2611923443488393474,5,5,random,0.02,3,7,20.0505,1
48,2611923443488393475,5,5,random,0.02,4,8,20.068166,1
49,2611923443488393476,5,5,random,0.02,3,8,20.079791,1
50,2611923443488393477,5,5,random,0.02,4,7,20.060916,1
51,2611923443488393478,5,5,random,0.02,3,10,20.049875,1
52,2611923443488393479,5,5,random,0.02,3,8,20.044666,1
53,2611923443488393480,5,5,random,0.02,4,7,20.065667,1
54,2611923443488393481,5,5,random,0.02,4,7,20.054875,1
55,2611923443488393482,5,5,random,0.02,4,8,20.057541,1
56,2611923443488393483,5,5,random,0.02,4,6,20.05775,1
57,2611923443488393484,5,5,random,0.02,4,9,20.059125,1
58,2611923443488393485,5,5,random,0.02,5,9,20.067875,1
59,2611923443488393486,5,5,random,0.02,4,5,20.060542,1
60,2611923443488393487,5,5,random,0.02,5,10,20.0495,1
61,2611923443488393488,5,5,random,0.02,5,7,20.062459,1
62,2611923443488393489,5,5,random,0.02,4,7,20.057167,1
63,2611923443488393490,5,5,random,0.02,4,9,20.073584,1
64,2611923443488393491,5,5,random,0.02,5,8,20.064375,1
65,2611923443488393492,5,5,random,0.02,3,7,20.065083,1
66,2611923443488393493,5,5,random,0.02,5,7,20.071,1
67,2611923443488393494,5,5,random,0.02,4,8,20.05475,1
68,2611923443488393495,5,5,random,0.02,3,7,20.056834,1
69,2611923443488393496,5,5,random,0.02,4,9,20.053083,1
70,2611923443488393497,5,5,random,0.02,3,9,20.050125,1
71,2611923443488393498,5,5,random,0.02,4,8,20.062125,1
72,2611923443488393499,5,5,random,0.02,3,7,20.056334,1
73,2611923443488393500,5,5,random,0.02,4,5,20.05925,1
74,2611923443488393501,5,5,random,0.02,4,8,20.053,1
75,2611923443488393502,5,5,random,0.02,5,6,20.063167,1
76,2611923443488393503,5,5,random,0.02,4,7,20.068125,1
77,2611923443488393504,5,5,random,0.02,3,8,20.066458,1
78,2611923443488393505,5,5,random,0.02,4,8,20.05675,1
79,2611923443488393506,5,5,random,0.02,4,8,20.061834,1
80,2611923443488393507,5,5,random,0.02,3,7,20.053625,1
81,2611923443488393508,5,5,random,0.02,5,10,20.06375,1
82,2611923443488393509,5,5,random,0.02,5,8,20.057042,1
83,2611923443488393510,5,5,random,0.02,3,8,20.054542,1
84,2611923443488393511,5,5,random,0.02,5,6,20.067625,1
85,2611923443488393512,5,5,random,0.02,5,6,20.053333,1
86,2611923443488393513,5,5,random,0.02,4,9,20.0675,1
87,2611923443488393514,5,5,random,0.02,4,6,20.061375,1
88,2611923443488393515,5,5,random,0.02,4,9,20.131208,1
89,2611923443488393516,5,5,random,0.02,4,10,20.063125,1
90,2611923443488393517,5,5,random,0.02,4,9,20.054208,1
91,2611923443488393518,5,5,random,0.02,5,8,20.050542,1
92,2611923443488393519,5,5,random,0.02,4,8,20.063083,1
93,2611923443488393520,5,5,random,0.02,3,7,20.062375,1
94,2611923443488393521,5,5,random,0.02,4,11,20.059292,1
95,2611923443488393522,5,5,random,0.02,4,8,20.068458,1
96,2611923443488393523,5,5,random,0.02,5,6,20.0535,1
97,2611923443488393524,5,5,random,0.02,4,7,20.070166,1
98,2611923443488393525,5,5,random,0.02,3,6,20.062834,1
99,2611923443488393526,5,5,random,0.02,4,6,20.079958,1
100,2611923443488393527,5,5,random,0.02,4,6,20.058291,1
101,2611923443488393528,5,5,random,0.02,4,8,20.060542,1
102,2611923443488393529,5,5,random,0.02,4,7,20.05475,1
103,2611923443488393530,5,5,random,0.02,5,6,20.063375,1
104,2611923443488393531,5,5,random,0.02,4,8,20.062291,1
105,2611923443488393532,5,5,random,0.02,3,7,20.040209,1
106,2611923443488393533,5,5,random,0.02,4,9,20.062125,1
107,2611923443488393534,5,5,random,0.02,4,7,20.052708,1
108,2611923443488393535,5,5,random,0.02,4,7,20.060833,1
109,2611923443488393536,5,5,random,0.02,3,7,20.060292,1
110,2611923443488393537,5,5,random,0.02,4,7,20.061666,1
111,2611923443488393538,5,5,random,0.02,6,6,20.054167,1
112,2611923443488393539,5,5,random,0.02,4,8,20.611042,1
113,2611923443488393540,5,5,random,0.02,5,6,20.070292,1
114,2611923443488393541,5,5,random,0.02,4,6,20.062583,1
115,2611923443488393542,5,5,random,0.02,3,7,20.057459,1
116,2611923443488393543,5,5,random,0.02,4,7,20.087,1
117,2611923443488393544,5,5,random,0.02,4,7,20.069667,1
118,2611923443488393545,5,5,random,0.02,4,8,20.060667,1
119,2611923443488393546,5,5,random,0.02,4,7,20.063958,1
120,2611923443488393547,5,5,random,0.02,4,7,20.057,1
121,2611923443488393548,5,5,random,0.02,5,7,20.054958,1
122,2611923443488393549,5,5,random,0.02,4,7,20.1015,1
123,2611923443488393550,5,5,random,0.02,4,6,20.055167,1
124,2611923443488393551,5,5,random,0.02,3,7,20.065792,1
125,2611923443488393552,5,5,random,0.02,4,9,20.067209,1
126,2611923443488393553,5,5,random,0.02,4,11,20.059459,1
127,2611923443488393554,5,5,random,0.02,4,8,20.061334,1
128,2611923443488393555,5,5,random,0.02,4,12,20.060709,1
129,2611923443488393556,5,5,random,0.02,4,8,20.0545,1
130,2611923443488393557,5,5,random,0.02,2,7,20.06025,1
131,2611923443488393558,5,5,random,0.02,4,7,20.081458,1
132,2611923443488393559,5,5,random,0.02,3,9,20.047625,1
133,2611923443488393560,5,5,random,0.02,4,10,20.057125,1
134,2611923443488393561,5,5,random,0.02,3,9,20.059833,1
135,2611923443488393562,5,5,random,0.02,4,8,20.060875,1
136,2611923443488393563,5,5,random,0.02,2,7,20.074333,1
137,2611923443488393564,5,5,random,0.02,5,9,20.063208,1
138,2611923443488393565,5,5,random,0.02,6,8,20.055542,1
139,2611923443488393566,5,5,random,0.02,5,11,20.058458,1
140,2611923443488393567,5,5,random,0.02,4,6,20.069334,1
141,2611923443488393568,5,5,random,0.02,3,8,20.0565,1
142,2611923443488393569,5,5,random,0.02,4,7,20.065833,1
143,2611923443488393570,5,5,random,0.02,4,7,20.0645,1
144,2611923443488393571,5,5,random,0.02,4,7,20.067333,1
145,2611923443488393572,5,5,random,0.02,3,9,20.067083,1
146,2611923443488393573,5,5,random,0.02,4,7,20.776625,1
147,2611923443488393574,5,5,random,0.02,3,6,20.065208,1
148,2611923443488393575,5,5,random,0.02,4,7,20.067166,1
149,2611923443488393576,5,5,random,0.02,4,6,20.068083,1
150,2611923443488393577,5,5,random,0.02,2,7,20.050167,1
151,2611923443488393578,5,5,random,0.02,4,10,20.069958,1
152,2611923443488393579,5,5,random,0.02,3,6,20.056291,1
153,2611923443488393580,5,5,random,0.02,3,7,20.052291,1
154,2611923443488393581,5,5,random,0.02,3,7,20.062875,1
155,2611923443488393582,5,5,random,0.02,3,7,20.062916,1
156,2611923443488393583,5,5,random,0.02,5,9,20.059167,1
157,2611923443488393584,5,5,random,0.02,5,9,20.0625,1
158,2611923443488393585,5,5,random,0.02,3,7,20.063875,1
159,2611923443488393586,5,5,random,0.02,3,7,20.055167,1
160,2611923443488393587,5,5,random,0.02,4,7,20.078167,1
161,2611923443488393588,5,5,random,0.02,4,10,20.107209,1
162,2611923443488393589,5,5,random,0.02,5,12,20.056541,1
163,2611923443488393590,5,5,random,0.02,3,8,20.046125,1
164,2611923443488393591,5,5,random,0.02,5,8,20.055959,1
165,2611923443488393592,5,5,random,0.02,3,6,20.293,1
166,2611923443488393593,5,5,random,0.02,4,9,20.061416,1
167,2611923443488393594,5,5,random,0.02,4,7,20.056584,1
168,2611923443488393595,5,5,random,0.02,5,10,20.069875,1
169,2611923443488393596,5,5,random,0.02,4,6,20.062791,1
170,2611923443488393597,5,5,random,0.02,3,6,20.058792,1
