index,seed,rows,cols,fallback,deterministic,post_local,post_beam,post_exact,final,det_wins,local_wins,beam_wins,exact_wins,random_beam_wins,repair_wins,restart_wins,destroy_wins,iterations,final_phase,det_ms,local_ms,beam_ms,exact_ms,last_improvement_ms,total_ms
0,15111065706836782339,20,20,286,93,93,91,91,86,3,0,1,0,5,0,0,0,761,5,10.2091,10.3683,32.7332,32.7338,556.175,1010.22
1,15111065706836782340,20,20,275,100,99,93,93,87,3,1,1,0,2,0,0,0,777,5,4.52375,4.60754,16.8462,16.8462,126.691,1004.53
2,15111065706836782341,20,20,268,96,96,96,96,84,3,0,0,0,5,0,0,0,765,5,4.58392,4.66279,17.2677,17.2678,542.511,1004.6
3,15111065706836782342,20,20,292,95,95,88,88,82,2,0,1,0,6,0,0,0,781,5,4.51117,4.587,16.595,16.5951,432.368,1004.53
4,15111065706836782343,20,20,292,97,97,96,96,83,4,0,1,0,4,0,0,0,789,5,4.6325,4.71021,17.0588,17.059,522.398,1004.67
5,15111065706836782344,20,20,292,98,98,90,90,89,3,0,1,0,1,0,0,0,773,5,4.52583,4.59817,16.9131,16.9132,219.98,1004.57
6,15111065706836782345,20,20,288,86,86,83,83,79,3,0,1,0,2,0,0,0,793,5,4.38579,4.45942,16.0479,16.048,183.489,1004.39
7,15111065706836782346,20,20,277,97,97,97,97,86,4,0,1,0,6,0,0,0,733,5,4.55879,4.63754,17.1528,17.1528,184.77,1004.57
8,15111065706836782347,20,20,281,98,98,97,97,83,3,0,1,0,5,1,0,3,773,5,4.40292,4.47792,17.1005,17.1005,751.353,1004.42
9,15111065706836782348,20,20,285,92,92,92,92,83,4,0,0,0,4,0,0,0,781,5,4.23496,4.3075,16.3583,16.3585,813.195,1004.24
10,15111065706836782349,20,20,278,99,99,95,95,82,2,0,1,0,4,0,0,0,777,5,4.49946,4.57192,16.919,16.9192,356.844,1004.52
11,15111065706836782350,20,20,289,93,93,93,93,85,3,0,0,0,2,0,0,1,765,8,4.9025,5.05417,17.9326,17.9326,244.465,1004.95
12,15111065706836782351,20,20,295,98,98,92,92,90,2,0,1,0,2,0,0,0,769,5,4.34563,4.41821,16.3828,16.3829,986.391,1004.35
13,15111065706836782352,20,20,292,93,93,93,93,83,2,0,0,0,5,0,0,0,773,5,4.43475,4.50754,16.8407,16.8407,996.117,1004.46
14,15111065706836782353,20,20,291,93,92,87,87,87,3,1,1,0,0,0,0,0,769,3,4.35554,4.51983,16.5191,16.5192,16.5191,1004.36
15,15111065706836782354,20,20,306,92,92,89,89,84,2,0,1,0,1,0,0,0,789,5,4.33821,4.41067,16.3373,16.3373,68.8111,1004.36
16,15111065706836782355,20,20,281,99,99,93,93,86,4,0,1,0,7,0,0,0,773,5,4.41288,4.48833,16.9014,16.9015,672.794,1004.43
17,15111065706836782356,20,20,277,98,97,88,88,88,2,1,1,0,0,0,0,1,741,8,4.43608,4.55262,16.8076,16.8077,110.147,1004.44
18,15111065706836782357,20,20,238,96,96,96,96,88,4,1,0,0,6,0,0,0,689,5,4.44487,4.51767,17.4901,17.4901,578.537,1004.45
19,15111065706836782358,20,20,296,96,96,96,96,86,4,0,1,0,5,0,0,0,765,5,5.18383,5.25908,18.2332,18.2332,996.095,1005.23
