index,seed,rows,cols,fallback,deterministic,post_local,post_beam,post_exact,final,det_wins,local_wins,beam_wins,exact_wins,repair_wins,restart_wins,destroy_wins,iterations,det_ms,local_ms,beam_ms,exact_ms,last_improvement_ms,total_ms
0,15111065706836782339,20,20,286,119,119,119,119,113,1,0,0,0,2,0,2,1252,13.708,13.8633,134.012,134.012,443.471,1014.52
1,15111065706836782340,20,20,275,114,114,114,114,112,1,0,0,0,1,0,3,1310,12.1418,12.2246,132.588,132.588,650.202,1012.31
2,15111065706836782341,20,20,268,113,112,112,112,111,1,1,0,0,0,0,1,1396,6.68925,6.76738,126.932,126.932,339.906,1006.92
3,15111065706836782342,20,20,292,95,95,95,95,94,2,0,0,0,0,0,2,1332,6.10971,6.18625,126.227,126.227,740.169,1006.77
4,15111065706836782343,20,20,292,111,110,110,110,96,2,1,0,0,1,0,0,1258,7.39333,7.56383,127.75,127.75,140.173,1007.56
5,15111065706836782344,20,20,292,116,115,115,115,108,1,1,0,0,1,0,1,1390,6.54092,6.67479,127.042,127.042,299.416,1007.09
6,15111065706836782345,20,20,288,103,103,103,103,103,1,0,0,0,0,0,0,1280,6.94738,7.01971,127.252,127.252,0,1007.17
7,15111065706836782346,20,20,277,114,114,114,114,108,2,0,0,0,1,0,2,1388,6.56296,6.63604,126.692,126.692,251.577,1007.15
8,15111065706836782347,20,20,281,110,110,110,110,103,2,0,0,0,2,0,1,1292,8.81317,9.20483,129.309,129.309,608.521,1009.21
9,15111065706836782348,20,20,285,112,112,112,112,112,2,0,0,0,1,0,0,1356,6.65729,6.73371,126.768,126.768,419.245,1006.83
10,15111065706836782349,20,20,278,111,111,111,111,109,1,0,0,0,0,0,2,1255,7.236,7.30971,127.356,127.356,411.739,1007.63
11,15111065706836782350,20,20,289,108,108,108,108,108,1,0,0,0,0,0,0,1273,6.85371,6.927,127.099,127.1,0,1007.06
12,15111065706836782351,20,20,295,115,115,115,115,113,1,0,0,0,0,0,2,1315,6.51125,6.585,126.62,126.62,887.98,1006.63
13,15111065706836782352,20,20,292,109,109,109,109,105,1,0,0,0,1,0,0,1348,6.69471,6.77396,127.102,127.102,472.809,1006.75
14,15111065706836782353,20,20,291,107,106,106,106,103,2,1,0,0,1,0,1,1407,6.46354,6.57683,126.838,126.838,861.03,1006.56
15,15111065706836782354,20,20,306,110,109,109,109,106,1,1,0,0,2,0,1,1302,6.54792,6.62842,126.768,126.768,861.536,1007.79
16,15111065706836782355,20,20,281,118,118,118,118,118,2,0,0,0,0,0,1,1400,6.42017,6.49338,126.876,126.876,697.78,1006.89
17,15111065706836782356,20,20,277,114,114,114,114,102,1,0,0,0,1,0,3,1423,6.96229,7.03546,127.252,127.252,420.547,1007.29
18,15111065706836782357,20,20,238,113,113,113,113,106,2,0,0,0,1,0,1,1362,6.93567,7.00904,127.291,127.291,534.254,1007.02
19,15111065706836782358,20,20,296,110,110,110,110,110,1,0,0,0,0,0,1,1350,6.78204,6.85558,126.879,126.879,327.891,1006.8
20,15111065706836782359,20,20,281,110,110,110,110,105,2,0,0,0,1,0,0,1330,6.89571,6.96888,127,127,379.815,1007.89
21,15111065706836782360,20,20,287,114,113,113,113,110,1,1,0,0,0,0,3,1087,6.77433,6.85412,127.04,127.04,860.32,1006.9
22,15111065706836782361,20,20,282,109,108,108,108,104,1,1,0,0,1,0,1,1238,6.82875,6.97933,127.238,127.238,390.81,1007.24
23,15111065706836782362,20,20,260,111,111,111,111,109,2,0,0,0,1,0,2,1298,6.73671,6.82058,127.091,127.091,342.945,1007.35
24,15111065706836782363,20,20,290,106,106,106,106,106,1,0,0,0,0,0,1,1316,6.36483,6.43833,126.683,126.684,129.014,1006.76
25,15111065706836782364,20,20,284,112,112,112,112,103,2,0,0,0,1,0,4,1358,7.15004,7.22508,127.281,127.281,470.508,1007.78
26,15111065706836782365,20,20,287,109,109,109,109,108,1,0,0,0,0,0,1,1240,6.44929,6.52271,126.591,126.591,173.832,1006.48
27,15111065706836782366,20,20,294,105,105,105,105,105,1,0,0,0,0,0,1,1338,6.49946,6.57646,126.606,126.606,132.282,1007.04
28,15111065706836782367,20,20,271,107,107,107,107,106,2,0,0,0,0,0,1,1310,6.34833,6.42417,126.734,126.734,649.185,1006.73
29,15111065706836782368,20,20,284,104,104,104,104,104,1,0,0,0,0,0,0,1392,6.46471,6.53958,126.715,126.715,0,1006.55
